---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_FE.UpdData = 2
Main.Study.Output_FE.FileName = "FE_data.txt"
Main.Study.Output_FE.NumberFormat.Digits = 15
Main.Study.Output_FE.NumberFormat.Width = 23
Main.Study.Output_FE.NumberFormat.Style = ScientificNumber
Main.Study.Output_FE.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_FE.Values = 
Main.Study.Output_FE.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Jnt.FE.Pos"}
Main.Study.Output_FE.Format = 0
Main.Study.Output_FE.SepSign = ","
Main.Study.Output_FE.SepSpaceAutoOnOff = On
Main.Study.Output_FE.LineSepSign = ""
Main.Study.Output_FE.Header.TitleSectionOnOff = On
Main.Study.Output_FE.Header.ConstSectionOnOff = On
Main.Study.Output_FE.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_FE.Header.VarSectionOnOff = On
Main.Study.Output_FE.Header.ColumnNamesOnOff = On
Main.Study.Output_FE.Header.LinePrefix = ""
Main.Study.Output_FE.Header.ShortenNamesOnOff = Off
Main.Study.Output_FE.Header.ColumnIDString = "col"
Main.Study.Output_FE.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_FE.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Jnt.FE.Pos
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Jnt.FE.Pos
  0.000000000000000e+00,  9.972605904581935e-01
  2.506265664160401e-02,  9.908074711979185e-01
  5.012531328320802e-02,  9.846990916631413e-01
  7.518796992481203e-02,  9.789458037217162e-01
  1.002506265664160e-01,  9.735575481310367e-01
  1.253132832080200e-01,  9.685438189519708e-01
  1.503759398496241e-01,  9.639136151654836e-01
  1.754385964912281e-01,  9.596753925921362e-01
  2.005012531328321e-01,  9.558370167116096e-01
  2.255639097744361e-01,  9.524057170082190e-01
  2.506265664160401e-01,  9.493880434844288e-01
  2.756892230576441e-01,  9.467898259858912e-01
  3.007518796992481e-01,  9.446161369673673e-01
  3.258145363408521e-01,  9.428712582982383e-01
  3.508771929824561e-01,  9.415586526591707e-01
  3.759398496240601e-01,  9.406809400184062e-01
  4.010025062656641e-01,  9.402398795983794e-01
  4.260651629072681e-01,  9.402363576529628e-01
  4.511278195488722e-01,  9.406703812750892e-01
  4.761904761904762e-01,  9.415410783468677e-01
  5.012531328320802e-01,  9.428467036331414e-01
  5.263157894736842e-01,  9.445846509081185e-01
  5.513784461152882e-01,  9.467514708970435e-01
  5.764411027568922e-01,  9.493428947141958e-01
  6.015037593984962e-01,  9.523538623878609e-01
  6.265664160401002e-01,  9.557785559849636e-01
  6.516290726817042e-01,  9.596104367846947e-01
  6.766917293233082e-01,  9.638422859030452e-01
  7.017543859649122e-01,  9.684662477392355e-01
  7.268170426065163e-01,  9.734738756006103e-01
  7.518796992481203e-01,  9.788561788638312e-01
  7.769423558897243e-01,  9.846036710460214e-01
  8.020050125313283e-01,  9.907064181881091e-01
  8.270676691729323e-01,  9.971540869921562e-01
  8.521303258145363e-01,  1.003935992202538e+00
  8.771929824561403e-01,  1.011041142775488e+00
  9.022556390977443e-01,  1.018458286440304e+00
  9.273182957393483e-01,  1.026175952316525e+00
  9.523809523809523e-01,  1.034182491312586e+00
  9.774436090225563e-01,  1.042466114091405e+00
  1.002506265664160e+00,  1.051014926445495e+00
  1.027568922305764e+00,  1.059816961977581e+00
  1.052631578947368e+00,  1.068860212031489e+00
  1.077694235588972e+00,  1.078132652861775e+00
  1.102756892230576e+00,  1.087622270068849e+00
  1.127819548872180e+00,  1.097317080359125e+00
  1.152882205513784e+00,  1.107205150717220e+00
  1.177944862155389e+00,  1.117274615099450e+00
  1.203007518796992e+00,  1.127513688775372e+00
  1.228070175438596e+00,  1.137910680457171e+00
  1.253132832080200e+00,  1.148454002365828e+00
  1.278195488721805e+00,  1.159132178388636e+00
  1.303258145363408e+00,  1.169933850485281e+00
  1.328320802005012e+00,  1.180847783499867e+00
  1.353383458646616e+00,  1.191862868534282e+00
  1.378446115288221e+00,  1.202968125034671e+00
  1.403508771929824e+00,  1.214152701737862e+00
  1.428571428571428e+00,  1.225405876618666e+00
  1.453634085213033e+00,  1.236717055972368e+00
  1.478696741854637e+00,  1.248075772759691e+00
  1.503759398496241e+00,  1.259471684334246e+00
  1.528822055137844e+00,  1.270894569665085e+00
  1.553884711779449e+00,  1.282334326159829e+00
  1.578947368421053e+00,  1.293780966186630e+00
  1.604010025062657e+00,  1.305224613386496e+00
  1.629072681704260e+00,  1.316655498861000e+00
  1.654135338345865e+00,  1.328063957314252e+00
  1.679197994987469e+00,  1.339440423222263e+00
  1.704260651629073e+00,  1.350775427097465e+00
  1.729323308270676e+00,  1.362059591911171e+00
  1.754385964912281e+00,  1.373283629732119e+00
  1.779448621553885e+00,  1.384438338634955e+00
  1.804511278195489e+00,  1.395514599928539e+00
  1.829573934837093e+00,  1.406503375750216e+00
  1.854636591478697e+00,  1.417395707068710e+00
  1.879699248120301e+00,  1.428182712135032e+00
  1.904761904761905e+00,  1.438855585417519e+00
  1.929824561403509e+00,  1.449405597054197e+00
  1.954887218045113e+00,  1.459824092852471e+00
  1.979949874686717e+00,  1.470102494863252e+00
  2.005012531328321e+00,  1.480232302553446e+00
  2.030075187969925e+00,  1.490205094597658e+00
  2.055137844611528e+00,  1.500012531306620e+00
  2.080200501253133e+00,  1.509646357706412e+00
  2.105263157894737e+00,  1.519098407278937e+00
  2.130325814536341e+00,  1.528360606370187e+00
  2.155388471177945e+00,  1.537424979268779e+00
  2.180451127819549e+00,  1.546283653952816e+00
  2.205513784461153e+00,  1.554928868498572e+00
  2.230576441102757e+00,  1.563352978139502e+00
  2.255639097744361e+00,  1.571548462959008e+00
  2.280701754385965e+00,  1.579507936194909e+00
  2.305764411027569e+00,  1.587224153128068e+00
  2.330827067669173e+00,  1.594690020521722e+00
  2.355889724310777e+00,  1.601898606572250e+00
  2.380952380952381e+00,  1.608843151326136e+00
  2.406015037593985e+00,  1.615517077511871e+00
  2.431077694235589e+00,  1.621914001729748e+00
  2.456140350877193e+00,  1.628027745936734e+00
  2.481203007518797e+00,  1.633852349158171e+00
  2.506265664160401e+00,  1.639382079353046e+00
  2.531328320802005e+00,  1.644611445354889e+00
  2.556390977443609e+00,  1.649535208806356e+00
  2.581453634085213e+00,  1.654148396002245e+00
  2.606516290726817e+00,  1.658446309553022e+00
  2.631578947368421e+00,  1.662424539779302e+00
  2.656641604010025e+00,  1.666078975746936e+00
  2.681704260651629e+00,  1.669405815852611e+00
  2.706766917293233e+00,  1.672401577871208e+00
  2.731829573934837e+00,  1.675063108378622e+00
  2.756892230576441e+00,  1.677387591467300e+00
  2.781954887218045e+00,  1.679372556676431e+00
  2.807017543859649e+00,  1.681015886064574e+00
  2.832080200501253e+00,  1.682315820359250e+00
  2.857142857142857e+00,  1.683270964125873e+00
  2.882205513784461e+00,  1.683880289907034e+00
  2.907268170426065e+00,  1.684143141292557e+00
  2.932330827067669e+00,  1.684059234890797e+00
  2.957393483709273e+00,  1.683628661182081e+00
  2.982456140350877e+00,  1.682851884246060e+00
  3.007518796992481e+00,  1.681729740365585e+00
  3.032581453634085e+00,  1.680263435520631e+00
  3.057644110275689e+00,  1.678454541796494e+00
  3.082706766917293e+00,  1.676304992740666e+00
  3.107769423558897e+00,  1.673817077712666e+00
  3.132832080200501e+00,  1.670993435280055e+00
  3.157894736842105e+00,  1.667837045722175e+00
  3.182957393483709e+00,  1.664351222710525e+00
  3.208020050125313e+00,  1.660539604240845e+00
  3.233082706766917e+00,  1.656406142897527e+00
  3.258145363408521e+00,  1.651955095534799e+00
  3.283208020050125e+00,  1.647191012462443e+00
  3.308270676691729e+00,  1.642118726225487e+00
  3.333333333333333e+00,  1.636743340068275e+00
  3.358395989974937e+00,  1.631070216172993e+00
  3.383458646616541e+00,  1.625104963761507e+00
  3.408521303258145e+00,  1.618853427147282e+00
  3.433583959899749e+00,  1.612321673821089e+00
  3.458646616541353e+00,  1.605515982650604e+00
  3.483709273182957e+00,  1.598442832269641e+00
  3.508771929824561e+00,  1.591108889727893e+00
  3.533834586466165e+00,  1.583520999466846e+00
  3.558897243107769e+00,  1.575686172681918e+00
  3.583959899749373e+00,  1.567611577125087e+00
  3.609022556390977e+00,  1.559304527396337e+00
  3.634085213032581e+00,  1.550772475766308e+00
  3.659147869674185e+00,  1.542023003566555e+00
  3.684210526315789e+00,  1.533063813177993e+00
  3.709273182957393e+00,  1.523902720642439e+00
  3.734335839598997e+00,  1.514547648916553e+00
  3.759398496240602e+00,  1.505006621782315e+00
  3.784461152882205e+00,  1.495287758423063e+00
  3.809523809523809e+00,  1.485399268669342e+00
  3.834586466165413e+00,  1.475349448914388e+00
  3.859649122807017e+00,  1.465146678694704e+00
