---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_biceps_brachii_caput_breve.UpdData = 2
Main.Study.Output_biceps_brachii_caput_breve.FileName = "biceps_brachii_caput_breve_data.txt"
Main.Study.Output_biceps_brachii_caput_breve.NumberFormat.Digits = 15
Main.Study.Output_biceps_brachii_caput_breve.NumberFormat.Width = 23
Main.Study.Output_biceps_brachii_caput_breve.NumberFormat.Style = ScientificNumber
Main.Study.Output_biceps_brachii_caput_breve.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_biceps_brachii_caput_breve.Values = 
Main.Study.Output_biceps_brachii_caput_breve.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.biceps_brachii_caput_breve.Fm"}
Main.Study.Output_biceps_brachii_caput_breve.Format = 0
Main.Study.Output_biceps_brachii_caput_breve.SepSign = ","
Main.Study.Output_biceps_brachii_caput_breve.SepSpaceAutoOnOff = On
Main.Study.Output_biceps_brachii_caput_breve.LineSepSign = ""
Main.Study.Output_biceps_brachii_caput_breve.Header.TitleSectionOnOff = On
Main.Study.Output_biceps_brachii_caput_breve.Header.ConstSectionOnOff = On
Main.Study.Output_biceps_brachii_caput_breve.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_biceps_brachii_caput_breve.Header.VarSectionOnOff = On
Main.Study.Output_biceps_brachii_caput_breve.Header.ColumnNamesOnOff = On
Main.Study.Output_biceps_brachii_caput_breve.Header.LinePrefix = ""
Main.Study.Output_biceps_brachii_caput_breve.Header.ShortenNamesOnOff = Off
Main.Study.Output_biceps_brachii_caput_breve.Header.ColumnIDString = "col"
Main.Study.Output_biceps_brachii_caput_breve.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_biceps_brachii_caput_breve.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.biceps_brachii_caput_breve.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.biceps_brachii_caput_breve.Fm
  0.000000000000000e+00,  4.991993800963928e-14
  2.506265664160401e-02,  5.058731030479888e-14
  5.012531328320802e-02,  4.694261288081619e-14
  7.518796992481203e-02,  4.492205925803765e-14
  1.002506265664160e-01,  6.173184504748549e-15
  1.253132832080200e-01,  8.259194291558618e-15
  1.503759398496241e-01,  8.664947112361151e-15
  1.754385964912281e-01,  3.009031754035856e-14
  2.005012531328321e-01,  2.478744681411368e-14
  2.255639097744361e-01,  3.492884944387089e-14
  2.506265664160401e-01,  1.656083983908642e-14
  2.756892230576441e-01,  4.903411575394947e-14
  3.007518796992481e-01,  1.365387808745833e-14
  3.258145363408521e-01,  1.590905003837035e-14
  3.508771929824561e-01,  2.853292601644477e-14
  3.759398496240601e-01,  2.170398452701838e-14
  4.010025062656641e-01,  2.954136550695861e-14
  4.260651629072681e-01,  2.316700116927040e-14
  4.511278195488722e-01,  1.980206312014301e-14
  4.761904761904762e-01,  1.652158524050728e-14
  5.012531328320802e-01,  1.099090022885088e-14
  5.263157894736842e-01,  7.584150603275541e-15
  5.513784461152882e-01,  5.970772208501064e-15
  5.764411027568922e-01,  6.051701309186770e-15
  6.015037593984962e-01,  4.156503480667572e-15
  6.265664160401002e-01,  4.147926088554300e-15
