---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_biceps_brachii_caput_longum.UpdData = 2
Main.Study.Output_biceps_brachii_caput_longum.FileName = "biceps_brachii_caput_longum_data.txt"
Main.Study.Output_biceps_brachii_caput_longum.NumberFormat.Digits = 15
Main.Study.Output_biceps_brachii_caput_longum.NumberFormat.Width = 23
Main.Study.Output_biceps_brachii_caput_longum.NumberFormat.Style = ScientificNumber
Main.Study.Output_biceps_brachii_caput_longum.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_biceps_brachii_caput_longum.Values = 
Main.Study.Output_biceps_brachii_caput_longum.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.biceps_brachii_caput_longum.Fm"}
Main.Study.Output_biceps_brachii_caput_longum.Format = 0
Main.Study.Output_biceps_brachii_caput_longum.SepSign = ","
Main.Study.Output_biceps_brachii_caput_longum.SepSpaceAutoOnOff = On
Main.Study.Output_biceps_brachii_caput_longum.LineSepSign = ""
Main.Study.Output_biceps_brachii_caput_longum.Header.TitleSectionOnOff = On
Main.Study.Output_biceps_brachii_caput_longum.Header.ConstSectionOnOff = On
Main.Study.Output_biceps_brachii_caput_longum.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_biceps_brachii_caput_longum.Header.VarSectionOnOff = On
Main.Study.Output_biceps_brachii_caput_longum.Header.ColumnNamesOnOff = On
Main.Study.Output_biceps_brachii_caput_longum.Header.LinePrefix = ""
Main.Study.Output_biceps_brachii_caput_longum.Header.ShortenNamesOnOff = Off
Main.Study.Output_biceps_brachii_caput_longum.Header.ColumnIDString = "col"
Main.Study.Output_biceps_brachii_caput_longum.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_biceps_brachii_caput_longum.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.biceps_brachii_caput_longum.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.biceps_brachii_caput_longum.Fm
  0.000000000000000e+00,  9.370554223774498e+00
  2.506265664160401e-02,  9.460392130595725e+00
  5.012531328320802e-02,  9.519328202682154e+00
  7.518796992481203e-02,  9.565094292285121e+00
  1.002506265664160e-01,  9.580941655479384e+00
  1.253132832080200e-01,  9.606098023294216e+00
  1.503759398496241e-01,  9.629226823160662e+00
  1.754385964912281e-01,  9.647159072328042e+00
  2.005012531328321e-01,  9.684880298238728e+00
  2.255639097744361e-01,  9.710451152246852e+00
  2.506265664160401e-01,  9.722538254625469e+00
  2.756892230576441e-01,  9.721359865365773e+00
  3.007518796992481e-01,  9.702400399882384e+00
  3.258145363408521e-01,  9.668019950854912e+00
  3.508771929824561e-01,  9.616632907046442e+00
  3.759398496240601e-01,  9.549744432585857e+00
  4.010025062656641e-01,  9.466177362301199e+00
  4.260651629072681e-01,  9.372805124258434e+00
  4.511278195488722e-01,  9.271109973662329e+00
  4.761904761904762e-01,  9.165076078344454e+00
  5.012531328320802e-01,  9.060049650648532e+00
  5.263157894736842e-01,  8.953139180217322e+00
  5.513784461152882e-01,  8.848277858352770e+00
  5.764411027568922e-01,  8.784015011795779e+00
  6.015037593984962e-01,  8.718350588284421e+00
  6.265664160401002e-01,  8.650003529855669e+00
