---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_brachialis_2.UpdData = 2
Main.Study.Output_brachialis_2.FileName = "brachialis_2_data.txt"
Main.Study.Output_brachialis_2.NumberFormat.Digits = 15
Main.Study.Output_brachialis_2.NumberFormat.Width = 23
Main.Study.Output_brachialis_2.NumberFormat.Style = ScientificNumber
Main.Study.Output_brachialis_2.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_brachialis_2.Values = 
Main.Study.Output_brachialis_2.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Brachialis_2.Fm"}
Main.Study.Output_brachialis_2.Format = 0
Main.Study.Output_brachialis_2.SepSign = ","
Main.Study.Output_brachialis_2.SepSpaceAutoOnOff = On
Main.Study.Output_brachialis_2.LineSepSign = ""
Main.Study.Output_brachialis_2.Header.TitleSectionOnOff = On
Main.Study.Output_brachialis_2.Header.ConstSectionOnOff = On
Main.Study.Output_brachialis_2.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_brachialis_2.Header.VarSectionOnOff = On
Main.Study.Output_brachialis_2.Header.ColumnNamesOnOff = On
Main.Study.Output_brachialis_2.Header.LinePrefix = ""
Main.Study.Output_brachialis_2.Header.ShortenNamesOnOff = Off
Main.Study.Output_brachialis_2.Header.ColumnIDString = "col"
Main.Study.Output_brachialis_2.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_brachialis_2.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Brachialis_2.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Brachialis_2.Fm
  0.000000000000000e+00,  1.912497369155399e-13
  2.506265664160401e-02,  1.932574169658228e-13
  5.012531328320802e-02,  1.852428676476766e-13
  7.518796992481203e-02,  1.839581354969255e-13
  1.002506265664160e-01,  2.712995638027708e-14
  1.253132832080200e-01,  3.892530671975746e-14
  1.503759398496241e-01,  4.401290402746553e-14
  1.754385964912281e-01,  1.690579009665231e-13
  2.005012531328321e-01,  1.564884887115544e-13
  2.255639097744361e-01,  2.495859959314747e-13
  2.506265664160401e-01,  1.352077053999070e-13
  2.756892230576441e-01,  4.625910886294892e-13
  3.007518796992481e-01,  1.498572273697643e-13
  3.258145363408521e-01,  2.050481021675025e-13
  3.508771929824561e-01,  4.349411870454129e-13
  3.759398496240601e-01,  3.925638580537319e-13
  4.010025062656641e-01,  6.319432920835000e-13
  4.260651629072681e-01,  5.765356327612757e-13
  4.511278195488722e-01,  5.644010548960907e-13
  4.761904761904762e-01,  5.282839631666210e-13
  5.012531328320802e-01,  3.839081384076991e-13
  5.263157894736842e-01,  2.832043102522086e-13
  5.513784461152882e-01,  2.327920861739378e-13
  5.764411027568922e-01,  2.593995596862623e-13
  6.015037593984962e-01,  1.902876538466133e-13
  6.265664160401002e-01,  1.960078447648203e-13
  6.516290726817042e-01,  1.536870905718734e-12
  6.766917293233082e-01,  1.330279470893620e-13
  7.017543859649122e-01,  1.371055514431436e-12
  7.268170426065163e-01,  1.178700309056235e-12
  7.518796992481203e-01,  2.155724195299984e-13
  7.769423558897243e-01,  2.039368741986479e-13
  8.020050125313283e-01,  1.213810533250657e-12
  8.270676691729323e-01,  1.715435494930536e-13
  8.521303258145363e-01,  1.681429630744747e-13
  8.771929824561403e-01,  8.799644157857065e-13
  9.022556390977443e-01,  1.631782156740298e-13
  9.273182957393483e-01,  2.750816632371570e-13
  9.523809523809523e-01,  3.927167329861477e-13
  9.774436090225563e-01,  4.323083537190835e-13
  1.002506265664160e+00,  3.898972162183950e-13
  1.027568922305764e+00,  4.003349282025602e-13
  1.052631578947368e+00,  3.772627755712014e-13
  1.077694235588972e+00,  3.388791889751423e-13
  1.102756892230576e+00,  2.883384757018509e-13
  1.127819548872180e+00,  2.213775200962114e-13
  1.152882205513784e+00,  1.446429159871702e-13
  1.177944862155389e+00,  9.489414631486063e-14
  1.203007518796992e+00,  6.940727761721801e-14
  1.228070175438596e+00,  5.640031306224935e-14
  1.253132832080200e+00,  1.620361738994748e-13
  1.278195488721805e+00,  1.576199016842908e-13
  1.303258145363408e+00,  1.303465002963454e-13
  1.328320802005012e+00,  1.420157642345180e-13
  1.353383458646616e+00,  1.518065990942123e-13
  1.378446115288221e+00,  1.514268273870814e-13
  1.403508771929824e+00,  1.380166440683627e-13
  1.428571428571428e+00,  1.191601627934281e-13
  1.453634085213033e+00,  1.173486024818010e-13
  1.478696741854637e+00,  9.917350249137986e-14
  1.503759398496241e+00,  9.021904194841882e-14
  1.528822055137844e+00,  1.007027988663487e-13
  1.553884711779449e+00,  1.027150843625823e-13
  1.578947368421053e+00,  9.357979958432290e-14
  1.604010025062657e+00,  7.939288468924553e-14
  1.629072681704260e+00,  7.886507310530841e-14
  1.654135338345865e+00,  6.711124559312318e-14
  1.679197994987469e+00,  1.656485116357874e-13
  1.704260651629073e+00,  1.358810586590586e-13
  1.729323308270676e+00,  9.255967812785389e-14
  1.754385964912281e+00,  6.796895220106201e-14
  1.779448621553885e+00,  5.891217740770714e-14
  1.804511278195489e+00,  4.139402177777510e-14
  1.829573934837093e+00,  1.495932334294627e-13
  1.854636591478697e+00,  4.305798308581756e-14
  1.879699248120301e+00,  3.333868943318223e-14
  1.904761904761905e+00,  2.809715037120789e-14
  1.929824561403509e+00,  2.529065901622585e-14
  1.954887218045113e+00,  4.414992536646059e-14
  1.979949874686717e+00,  4.620082470242047e-14
  2.005012531328321e+00,  4.608556285198884e-14
  2.030075187969925e+00,  1.434598919878351e-13
  2.055137844611528e+00,  2.704419837118965e-14
  2.080200501253133e+00,  2.358425349698170e-14
  2.105263157894737e+00,  2.878904029424574e-14
  2.130325814536341e+00,  2.228305466493232e-14
  2.155388471177945e+00,  1.490016248410026e-14
  2.180451127819549e+00,  2.303731930761923e-14
  2.205513784461153e+00,  4.229440512405818e-14
  2.230576441102757e+00,  2.051641353710142e-14
  2.255639097744361e+00,  3.153739427016250e-14
  2.280701754385965e+00,  3.499348059404863e-14
  2.305764411027569e+00,  3.573845479836380e-14
  2.330827067669173e+00,  1.265550072564281e-13
  2.355889724310777e+00,  1.021966350695621e-13
  2.380952380952381e+00,  1.101155998808267e-14
  2.406015037593985e+00,  9.568470666300229e-14
  2.431077694235589e+00,  1.772965001578194e-13
  2.456140350877193e+00,  1.339615175494432e-13
  2.481203007518797e+00,  1.426108334138436e-14
  2.506265664160401e+00,  2.712496378472460e-13
  2.531328320802005e+00,  5.632407035554894e-14
  2.556390977443609e+00,  4.807940282860941e-14
  2.581453634085213e+00,  6.970273654536404e-13
  2.606516290726817e+00,  2.079105510694024e-12
  2.631578947368421e+00,  2.922845169529985e+00
  2.656641604010025e+00,  9.352741879148761e+00
  2.681704260651629e+00,  1.353775421024729e+01
  2.706766917293233e+00,  1.632903945018981e+01
  2.731829573934837e+00,  1.833358657051787e+01
  2.756892230576441e+00,  1.988650672324113e+01
  2.781954887218045e+00,  2.109992207805839e+01
  2.807017543859649e+00,  2.209716583083571e+01
  2.832080200501253e+00,  2.288997424914087e+01
  2.857142857142857e+00,  2.361119634937111e+01
  2.882205513784461e+00,  2.397879540506149e+01
  2.907268170426065e+00,  2.417981738510838e+01
  2.932330827067669e+00,  2.431113408316888e+01
  2.957393483709273e+00,  2.440113558239780e+01
  2.982456140350877e+00,  2.455296339874799e+01
  3.007518796992481e+00,  2.450910873071238e+01
  3.032581453634085e+00,  2.369953312066626e+01
  3.057644110275689e+00,  2.291433975295661e+01
  3.082706766917293e+00,  2.227081558069314e+01
  3.107769423558897e+00,  2.162427266989747e+01
  3.132832080200501e+00,  2.101428970708435e+01
  3.157894736842105e+00,  2.044690194196450e+01
  3.182957393483709e+00,  1.990483727469874e+01
  3.208020050125313e+00,  1.938987382775818e+01
  3.233082706766917e+00,  1.890244922118662e+01
  3.258145363408521e+00,  1.845333724281929e+01
  3.283208020050125e+00,  1.818623035039583e+01
  3.308270676691729e+00,  1.809500503478017e+01
  3.333333333333333e+00,  1.786268336963186e+01
  3.358395989974937e+00,  1.762149445588776e+01
  3.383458646616541e+00,  1.741360990719645e+01
  3.408521303258145e+00,  1.688090270145914e+01
  3.433583959899749e+00,  1.637235283708755e+01
  3.458646616541353e+00,  1.587573461546580e+01
  3.483709273182957e+00,  1.539424410044315e+01
  3.508771929824561e+00,  1.493247291149112e+01
  3.533834586466165e+00,  1.448504445387997e+01
  3.558897243107769e+00,  1.405209834547400e+01
  3.583959899749373e+00,  1.363373378331569e+01
  3.609022556390977e+00,  1.322944006966983e+01
  3.634085213032581e+00,  1.283860538161493e+01
  3.659147869674185e+00,  1.246055983080708e+01
  3.684210526315789e+00,  1.209327224803163e+01
  3.709273182957393e+00,  1.173843437439419e+01
  3.734335839598997e+00,  1.139324298795245e+01
  3.759398496240602e+00,  1.105615395320442e+01
  3.784461152882205e+00,  1.072171845603179e+01
  3.809523809523809e+00,  1.039225736109281e+01
  3.834586466165413e+00,  1.006651638030345e+01
  3.859649122807017e+00,  9.744261799798114e+00
  3.884711779448621e+00,  9.424883483260414e+00
  3.909774436090225e+00,  9.107618488040472e+00
  3.934837092731829e+00,  8.791583344714818e+00
  3.959899749373434e+00,  8.475778415056412e+00
  3.984962406015037e+00,  8.159131916840407e+00
  4.010025062656641e+00,  7.840453936086291e+00
  4.035087719298246e+00,  7.518439002925851e+00
  4.060150375939849e+00,  7.191643640890586e+00
  4.085213032581454e+00,  6.858466041156043e+00
  4.110275689223057e+00,  6.517074397719725e+00
  4.135338345864661e+00,  6.165440734935117e+00
  4.160401002506266e+00,  5.801205683218051e+00
  4.185463659147869e+00,  5.421563979470173e+00
  4.210526315789473e+00,  5.022647760921502e+00
  4.235588972431078e+00,  4.599450278534639e+00
  4.260651629072681e+00,  4.160605707391173e+00
  4.285714285714286e+00,  3.711144915522228e+00
  4.310776942355890e+00,  3.233153307959725e+00
  4.335839598997493e+00,  2.721328409770934e+00
  4.360902255639098e+00,  2.209664898294607e+00
  4.385964912280701e+00,  1.691974677559759e+00
  4.411027568922306e+00,  1.186459627216896e+00
  4.436090225563910e+00,  2.686685708118182e-01
  4.461152882205513e+00,  1.087695354309493e-10
  4.486215538847118e+00,  1.549048471796562e-11
  4.511278195488721e+00,  5.329891388988550e-12
