---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_tricps_LA_2.UpdData = 2
Main.Study.Output_tricps_LA_2.FileName = "triceps_LA_2_data.txt"
Main.Study.Output_tricps_LA_2.NumberFormat.Digits = 15
Main.Study.Output_tricps_LA_2.NumberFormat.Width = 23
Main.Study.Output_tricps_LA_2.NumberFormat.Style = ScientificNumber
Main.Study.Output_tricps_LA_2.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_tricps_LA_2.Values = 
Main.Study.Output_tricps_LA_2.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LA_2.Fm"}
Main.Study.Output_tricps_LA_2.Format = 0
Main.Study.Output_tricps_LA_2.SepSign = ","
Main.Study.Output_tricps_LA_2.SepSpaceAutoOnOff = On
Main.Study.Output_tricps_LA_2.LineSepSign = ""
Main.Study.Output_tricps_LA_2.Header.TitleSectionOnOff = On
Main.Study.Output_tricps_LA_2.Header.ConstSectionOnOff = On
Main.Study.Output_tricps_LA_2.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_LA_2.Header.VarSectionOnOff = On
Main.Study.Output_tricps_LA_2.Header.ColumnNamesOnOff = On
Main.Study.Output_tricps_LA_2.Header.LinePrefix = ""
Main.Study.Output_tricps_LA_2.Header.ShortenNamesOnOff = Off
Main.Study.Output_tricps_LA_2.Header.ColumnIDString = "col"
Main.Study.Output_tricps_LA_2.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_LA_2.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LA_2.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LA_2.Fm
  0.000000000000000e+00,  1.114133919815866e+01
  2.506265664160401e-02,  1.111610332437210e+01
  5.012531328320802e-02,  1.094195696779836e+01
  7.518796992481203e-02,  1.073713704335486e+01
  1.002506265664160e-01,  1.042927163382994e+01
  1.253132832080200e-01,  1.011047216328770e+01
  1.503759398496241e-01,  9.772500001446744e+00
  1.754385964912281e-01,  9.359273615413192e+00
  2.005012531328321e-01,  8.883045974476625e+00
  2.255639097744361e-01,  8.397643386176991e+00
  2.506265664160401e-01,  7.902623569124147e+00
  2.756892230576441e-01,  7.397411385459514e+00
  3.007518796992481e-01,  6.904152970080573e+00
  3.258145363408521e-01,  6.417539378221740e+00
  3.508771929824561e-01,  5.948327318693638e+00
  3.759398496240601e-01,  5.507676419516962e+00
  4.010025062656641e-01,  5.110976267861638e+00
  4.260651629072681e-01,  4.773662931765009e+00
  4.511278195488722e-01,  4.493763867355004e+00
  4.761904761904762e-01,  4.273218014978341e+00
  5.012531328320802e-01,  4.111295819345359e+00
  5.263157894736842e-01,  3.999330692323882e+00
