---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_tricps_LH_2.UpdData = 2
Main.Study.Output_tricps_LH_2.FileName = "triceps_LH_2_data.txt"
Main.Study.Output_tricps_LH_2.NumberFormat.Digits = 15
Main.Study.Output_tricps_LH_2.NumberFormat.Width = 23
Main.Study.Output_tricps_LH_2.NumberFormat.Style = ScientificNumber
Main.Study.Output_tricps_LH_2.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_tricps_LH_2.Values = 
Main.Study.Output_tricps_LH_2.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LH_2.Fm"}
Main.Study.Output_tricps_LH_2.Format = 0
Main.Study.Output_tricps_LH_2.SepSign = ","
Main.Study.Output_tricps_LH_2.SepSpaceAutoOnOff = On
Main.Study.Output_tricps_LH_2.LineSepSign = ""
Main.Study.Output_tricps_LH_2.Header.TitleSectionOnOff = On
Main.Study.Output_tricps_LH_2.Header.ConstSectionOnOff = On
Main.Study.Output_tricps_LH_2.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_LH_2.Header.VarSectionOnOff = On
Main.Study.Output_tricps_LH_2.Header.ColumnNamesOnOff = On
Main.Study.Output_tricps_LH_2.Header.LinePrefix = ""
Main.Study.Output_tricps_LH_2.Header.ShortenNamesOnOff = Off
Main.Study.Output_tricps_LH_2.Header.ColumnIDString = "col"
Main.Study.Output_tricps_LH_2.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_LH_2.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LH_2.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LH_2.Fm
  0.000000000000000e+00,  3.627300406941328e-11
  2.506265664160401e-02,  7.226122067900064e-01
  5.012531328320802e-02,  1.835736406776348e+00
  7.518796992481203e-02,  2.316551519918074e+00
  1.002506265664160e-01,  1.769247813984180e+00
  1.253132832080200e-01,  1.304159555287841e+00
  1.503759398496241e-01,  6.829879269696701e-01
  1.754385964912281e-01,  8.224417202384766e-12
  2.005012531328321e-01,  2.478818513936960e-12
  2.255639097744361e-01,  2.248860917606549e-12
  2.506265664160401e-01,  8.142301567560780e-13
  2.756892230576441e-01,  2.002632264228779e-12
  3.007518796992481e-01,  4.972922552982707e-13
  3.258145363408521e-01,  5.409988949398523e-13
  3.508771929824561e-01,  9.438572564605274e-13
  3.759398496240601e-01,  7.259672881324578e-13
  4.010025062656641e-01,  1.042011005408329e-12
  4.260651629072681e-01,  9.098050782925639e-13
  4.511278195488722e-01,  9.094393215175222e-13
  4.761904761904762e-01,  9.413373617592634e-13
  5.012531328320802e-01,  8.565030346595586e-13
  5.263157894736842e-01,  1.023462906986628e-12
