---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_tricps_ME_2.UpdData = 2
Main.Study.Output_tricps_ME_2.FileName = "triceps_ME_2_data.txt"
Main.Study.Output_tricps_ME_2.NumberFormat.Digits = 15
Main.Study.Output_tricps_ME_2.NumberFormat.Width = 23
Main.Study.Output_tricps_ME_2.NumberFormat.Style = ScientificNumber
Main.Study.Output_tricps_ME_2.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_tricps_ME_2.Values = 
Main.Study.Output_tricps_ME_2.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_ME_2.Fm"}
Main.Study.Output_tricps_ME_2.Format = 0
Main.Study.Output_tricps_ME_2.SepSign = ","
Main.Study.Output_tricps_ME_2.SepSpaceAutoOnOff = On
Main.Study.Output_tricps_ME_2.LineSepSign = ""
Main.Study.Output_tricps_ME_2.Header.TitleSectionOnOff = On
Main.Study.Output_tricps_ME_2.Header.ConstSectionOnOff = On
Main.Study.Output_tricps_ME_2.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_ME_2.Header.VarSectionOnOff = On
Main.Study.Output_tricps_ME_2.Header.ColumnNamesOnOff = On
Main.Study.Output_tricps_ME_2.Header.LinePrefix = ""
Main.Study.Output_tricps_ME_2.Header.ShortenNamesOnOff = Off
Main.Study.Output_tricps_ME_2.Header.ColumnIDString = "col"
Main.Study.Output_tricps_ME_2.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_ME_2.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_ME_2.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_ME_2.Fm
  0.000000000000000e+00,  2.842608077438085e+01
  2.506265664160401e-02,  2.836269715041472e+01
  5.012531328320802e-02,  2.791934665170923e+01
  7.518796992481203e-02,  2.739771048358517e+01
  1.002506265664160e-01,  2.661308982443451e+01
  1.253132832080200e-01,  2.580049927144245e+01
  1.503759398496241e-01,  2.493890046149706e+01
  1.754385964912281e-01,  2.388515768500561e+01
  2.005012531328321e-01,  2.267051703418037e+01
  2.255639097744361e-01,  2.143233572327773e+01
  2.506265664160401e-01,  2.016948327072902e+01
  2.756892230576441e-01,  1.888048874909548e+01
  3.007518796992481e-01,  1.762189078005113e+01
  3.258145363408521e-01,  1.638014349289818e+01
  3.508771929824561e-01,  1.518270983337729e+01
  3.759398496240601e-01,  1.405810313708996e+01
  4.010025062656641e-01,  1.304559719989925e+01
  4.260651629072681e-01,  1.218461556555224e+01
  4.511278195488722e-01,  1.147013524916951e+01
  4.761904761904762e-01,  1.090710810186233e+01
  5.012531328320802e-01,  1.049366914634723e+01
  5.263157894736842e-01,  1.020772749292058e+01
  5.513784461152882e-01,  1.004387385785615e+01
  5.764411027568922e-01,  9.611539217980926e+00
  6.015037593984962e-01,  9.328765100369708e+00
  6.265664160401002e-01,  9.208694217289411e+00
  6.516290726817042e-01,  9.202807094106911e+00
  6.766917293233082e-01,  9.291034159125322e+00
  7.017543859649122e-01,  9.463741228622471e+00
  7.268170426065163e-01,  9.704169038146320e+00
  7.518796992481203e-01,  9.973112334939275e+00
  7.769423558897243e-01,  1.020708913522701e+01
  8.020050125313283e-01,  1.049505668372563e+01
  8.270676691729323e-01,  1.082991462490978e+01
  8.521303258145363e-01,  1.120084308563822e+01
  8.771929824561403e-01,  1.160389984761544e+01
  9.022556390977443e-01,  1.203423767345259e+01
  9.273182957393483e-01,  1.248842455295868e+01
  9.523809523809523e-01,  1.296325325290814e+01
  9.774436090225563e-01,  1.345561614930275e+01
  1.002506265664160e+00,  1.396301758603088e+01
  1.027568922305764e+00,  1.448341932968842e+01
  1.052631578947368e+00,  1.501384972165973e+01
  1.077694235588972e+00,  1.554903951694965e+01
  1.102756892230576e+00,  1.609058787209052e+01
  1.127819548872180e+00,  1.663995605937692e+01
  1.152882205513784e+00,  1.719935561194313e+01
  1.177944862155389e+00,  1.778659399311236e+01
  1.203007518796992e+00,  1.836861335532285e+01
  1.228070175438596e+00,  1.894095116487279e+01
  1.253132832080200e+00,  1.951956373712926e+01
  1.278195488721805e+00,  2.010015800781141e+01
  1.303258145363408e+00,  2.067968593240430e+01
  1.328320802005012e+00,  2.125256909264861e+01
  1.353383458646616e+00,  2.182116901909451e+01
  1.378446115288221e+00,  2.239504655590153e+01
  1.403508771929824e+00,  2.300944840058978e+01
  1.428571428571428e+00,  2.362918534661870e+01
