---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_biceps_brachii_caput_breve.UpdData = 2
Main.Study.Output_biceps_brachii_caput_breve.FileName = "biceps_brachii_caput_breve_data.txt"
Main.Study.Output_biceps_brachii_caput_breve.NumberFormat.Digits = 15
Main.Study.Output_biceps_brachii_caput_breve.NumberFormat.Width = 23
Main.Study.Output_biceps_brachii_caput_breve.NumberFormat.Style = ScientificNumber
Main.Study.Output_biceps_brachii_caput_breve.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_biceps_brachii_caput_breve.Values = 
Main.Study.Output_biceps_brachii_caput_breve.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.biceps_brachii_caput_breve.Fm"}
Main.Study.Output_biceps_brachii_caput_breve.Format = 0
Main.Study.Output_biceps_brachii_caput_breve.SepSign = ","
Main.Study.Output_biceps_brachii_caput_breve.SepSpaceAutoOnOff = On
Main.Study.Output_biceps_brachii_caput_breve.LineSepSign = ""
Main.Study.Output_biceps_brachii_caput_breve.Header.TitleSectionOnOff = On
Main.Study.Output_biceps_brachii_caput_breve.Header.ConstSectionOnOff = On
Main.Study.Output_biceps_brachii_caput_breve.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_biceps_brachii_caput_breve.Header.VarSectionOnOff = On
Main.Study.Output_biceps_brachii_caput_breve.Header.ColumnNamesOnOff = On
Main.Study.Output_biceps_brachii_caput_breve.Header.LinePrefix = ""
Main.Study.Output_biceps_brachii_caput_breve.Header.ShortenNamesOnOff = Off
Main.Study.Output_biceps_brachii_caput_breve.Header.ColumnIDString = "col"
Main.Study.Output_biceps_brachii_caput_breve.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_biceps_brachii_caput_breve.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.biceps_brachii_caput_breve.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.biceps_brachii_caput_breve.Fm
  0.000000000000000e+00,  1.858333892101227e-14
  2.020202020202020e-02,  5.933683430747339e-14
  4.040404040404041e-02,  2.023943336596744e-14
  6.060606060606061e-02,  2.205839923032822e-14
  8.080808080808081e-02,  2.080673194179302e-14
  1.010101010101010e-01,  2.503498065450795e-14
  1.212121212121212e-01,  2.943450576767845e-14
  1.414141414141414e-01,  2.147769607983390e-14
  1.616161616161616e-01,  3.171524113703670e-14
  1.818181818181818e-01,  2.465118314758917e-14
  2.020202020202020e-01,  2.404164026055660e-14
  2.222222222222222e-01,  2.497189606665419e-14
  2.424242424242424e-01,  2.653912157602340e-14
  2.626262626262627e-01,  2.742483573710481e-14
  2.828282828282828e-01,  2.788523126799887e-14
  3.030303030303030e-01,  2.836992103440703e-14
  3.232323232323233e-01,  5.042746998780013e-14
  3.434343434343434e-01,  2.973499206578471e-14
  3.636363636363636e-01,  3.165767100685023e-14
  3.838383838383838e-01,  3.367524455533952e-14
  4.040404040404040e-01,  3.575124980253960e-14
  4.242424242424243e-01,  4.122806039042756e-14
  4.444444444444444e-01,  4.341309437240844e-14
  4.646464646464646e-01,  4.609548927008411e-14
  4.848484848484849e-01,  4.901108031905751e-14
  5.050505050505051e-01,  5.222559106930367e-14
