---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_tricps_ME_2.UpdData = 2
Main.Study.Output_tricps_ME_2.FileName = "triceps_ME_2_data.txt"
Main.Study.Output_tricps_ME_2.NumberFormat.Digits = 15
Main.Study.Output_tricps_ME_2.NumberFormat.Width = 23
Main.Study.Output_tricps_ME_2.NumberFormat.Style = ScientificNumber
Main.Study.Output_tricps_ME_2.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_tricps_ME_2.Values = 
Main.Study.Output_tricps_ME_2.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_ME_2.Fm"}
Main.Study.Output_tricps_ME_2.Format = 0
Main.Study.Output_tricps_ME_2.SepSign = ","
Main.Study.Output_tricps_ME_2.SepSpaceAutoOnOff = On
Main.Study.Output_tricps_ME_2.LineSepSign = ""
Main.Study.Output_tricps_ME_2.Header.TitleSectionOnOff = On
Main.Study.Output_tricps_ME_2.Header.ConstSectionOnOff = On
Main.Study.Output_tricps_ME_2.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_ME_2.Header.VarSectionOnOff = On
Main.Study.Output_tricps_ME_2.Header.ColumnNamesOnOff = On
Main.Study.Output_tricps_ME_2.Header.LinePrefix = ""
Main.Study.Output_tricps_ME_2.Header.ShortenNamesOnOff = Off
Main.Study.Output_tricps_ME_2.Header.ColumnIDString = "col"
Main.Study.Output_tricps_ME_2.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_ME_2.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_ME_2.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_ME_2.Fm
  0.000000000000000e+00,  1.522358425779387e+01
  2.020202020202020e-02,  1.435094430080686e+01
  4.040404040404041e-02,  1.347184509375100e+01
  6.060606060606061e-02,  1.258753823834567e+01
  8.080808080808081e-02,  1.169983402189788e+01
  1.010101010101010e-01,  1.081185577852643e+01
  1.212121212121212e-01,  9.928678216549715e+00
  1.414141414141414e-01,  9.057329013994281e+00
  1.616161616161616e-01,  8.088135933083350e+00
  1.818181818181818e-01,  7.080058763678546e+00
  2.020202020202020e-01,  6.043823526897933e+00
  2.222222222222222e-01,  4.981958357206230e+00
  2.424242424242424e-01,  3.896506181408757e+00
  2.626262626262627e-01,  2.814273959247807e+00
  2.828282828282828e-01,  1.706379762870218e+00
  3.030303030303030e-01,  5.578295214017529e-01
  3.232323232323233e-01,  5.012975238253726e-11
  3.434343434343434e-01,  7.874827458861286e-12
  3.636363636363636e-01,  2.989101860463846e-12
  3.838383838383838e-01,  4.626949051305661e-12
  4.040404040404040e-01,  1.191527232109516e-12
  4.242424242424243e-01,  1.240145688301610e-12
  4.444444444444444e-01,  9.835429785908730e-13
  4.646464646464646e-01,  7.533374404423901e-13
  4.848484848484849e-01,  6.760903428462804e-13
  5.050505050505051e-01,  6.640544190329652e-13
  5.252525252525253e-01,  3.613845233776517e-13
  5.454545454545454e-01,  4.597114330475715e-13
  5.656565656565656e-01,  3.769712608005986e-13
  5.858585858585859e-01,  2.136062015788711e-13
  6.060606060606061e-01,  1.849111677989716e-13
  6.262626262626263e-01,  2.018894763896277e-13
  6.464646464646465e-01,  9.066800043758239e-13
  6.666666666666666e-01,  1.954028932503586e-13
  6.868686868686869e-01,  1.983621775745469e-13
  7.070707070707071e-01,  1.600915792962207e-13
  7.272727272727273e-01,  9.801282785179949e-14
  7.474747474747475e-01,  9.473417202150944e-14
  7.676767676767676e-01,  1.158827835698984e-13
  7.878787878787878e-01,  1.268409838676618e-13
  8.080808080808081e-01,  1.300066660713918e-13
  8.282828282828283e-01,  1.285701050240173e-13
  8.484848484848485e-01,  7.052133265175062e-14
  8.686868686868687e-01,  1.369103207701731e-13
  8.888888888888888e-01,  7.504707104617234e-14
  9.090909090909091e-01,  1.674734921634816e-13
  9.292929292929293e-01,  7.129227139641884e-14
  9.494949494949495e-01,  6.684563586922051e-14
  9.696969696969697e-01,  6.247738704862069e-14
  9.898989898989899e-01,  5.442940600045027e-14
  1.010101010101010e+00,  8.668245309276277e-14
  1.030303030303030e+00,  4.512578647952663e-14
  1.050505050505051e+00,  9.633255947161555e-14
  1.070707070707071e+00,  3.682677936748552e-14
  1.090909090909091e+00,  3.659087946047478e-14
  1.111111111111111e+00,  2.869720854185039e-14
  1.131313131313131e+00,  3.343993417959912e-14
  1.151515151515152e+00,  3.652668892642211e-14
