---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_biceps_brachii_caput_longum.UpdData = 2
Main.Study.Output_biceps_brachii_caput_longum.FileName = "biceps_brachii_caput_longum_data.txt"
Main.Study.Output_biceps_brachii_caput_longum.NumberFormat.Digits = 15
Main.Study.Output_biceps_brachii_caput_longum.NumberFormat.Width = 23
Main.Study.Output_biceps_brachii_caput_longum.NumberFormat.Style = ScientificNumber
Main.Study.Output_biceps_brachii_caput_longum.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_biceps_brachii_caput_longum.Values = 
Main.Study.Output_biceps_brachii_caput_longum.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.biceps_brachii_caput_longum.Fm"}
Main.Study.Output_biceps_brachii_caput_longum.Format = 0
Main.Study.Output_biceps_brachii_caput_longum.SepSign = ","
Main.Study.Output_biceps_brachii_caput_longum.SepSpaceAutoOnOff = On
Main.Study.Output_biceps_brachii_caput_longum.LineSepSign = ""
Main.Study.Output_biceps_brachii_caput_longum.Header.TitleSectionOnOff = On
Main.Study.Output_biceps_brachii_caput_longum.Header.ConstSectionOnOff = On
Main.Study.Output_biceps_brachii_caput_longum.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_biceps_brachii_caput_longum.Header.VarSectionOnOff = On
Main.Study.Output_biceps_brachii_caput_longum.Header.ColumnNamesOnOff = On
Main.Study.Output_biceps_brachii_caput_longum.Header.LinePrefix = ""
Main.Study.Output_biceps_brachii_caput_longum.Header.ShortenNamesOnOff = Off
Main.Study.Output_biceps_brachii_caput_longum.Header.ColumnIDString = "col"
Main.Study.Output_biceps_brachii_caput_longum.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_biceps_brachii_caput_longum.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.biceps_brachii_caput_longum.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.biceps_brachii_caput_longum.Fm
  0.000000000000000e+00,  1.018308335675496e+01
  2.020202020202020e-02,  1.016061102628066e+01
  4.040404040404041e-02,  1.013168255230706e+01
  6.060606060606061e-02,  1.009909586197516e+01
  8.080808080808081e-02,  1.006553396862102e+01
  1.010101010101010e-01,  1.004306813081284e+01
  1.212121212121212e-01,  1.001145131644024e+01
  1.414141414141414e-01,  9.967889166799385e+00
  1.616161616161616e-01,  9.923992741302342e+00
  1.818181818181818e-01,  9.880989789889366e+00
  2.020202020202020e-01,  9.831584215521532e+00
  2.222222222222222e-01,  9.770748966131759e+00
  2.424242424242424e-01,  9.708435132955922e+00
  2.626262626262627e-01,  9.652694985567051e+00
  2.828282828282828e-01,  9.594130427772646e+00
  3.030303030303030e-01,  9.533614320713690e+00
  3.232323232323233e-01,  9.484734045143554e+00
  3.434343434343434e-01,  9.464064339265748e+00
  3.636363636363636e-01,  9.404493275196780e+00
  3.838383838383838e-01,  9.338840944744801e+00
  4.040404040404040e-01,  9.278445139899405e+00
  4.242424242424243e-01,  9.229755119336817e+00
  4.444444444444444e-01,  9.180438241775512e+00
  4.646464646464646e-01,  9.130451591682444e+00
  4.848484848484849e-01,  9.080563017960696e+00
  5.050505050505051e-01,  9.027146768580927e+00
