---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_tricps_LH_1.UpdData = 2
Main.Study.Output_tricps_LH_1.FileName = "triceps_LH_1_data.txt"
Main.Study.Output_tricps_LH_1.NumberFormat.Digits = 15
Main.Study.Output_tricps_LH_1.NumberFormat.Width = 23
Main.Study.Output_tricps_LH_1.NumberFormat.Style = ScientificNumber
Main.Study.Output_tricps_LH_1.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_tricps_LH_1.Values = 
Main.Study.Output_tricps_LH_1.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LH_1.Fm"}
Main.Study.Output_tricps_LH_1.Format = 0
Main.Study.Output_tricps_LH_1.SepSign = ","
Main.Study.Output_tricps_LH_1.SepSpaceAutoOnOff = On
Main.Study.Output_tricps_LH_1.LineSepSign = ""
Main.Study.Output_tricps_LH_1.Header.TitleSectionOnOff = On
Main.Study.Output_tricps_LH_1.Header.ConstSectionOnOff = On
Main.Study.Output_tricps_LH_1.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_LH_1.Header.VarSectionOnOff = On
Main.Study.Output_tricps_LH_1.Header.ColumnNamesOnOff = On
Main.Study.Output_tricps_LH_1.Header.LinePrefix = ""
Main.Study.Output_tricps_LH_1.Header.ShortenNamesOnOff = Off
Main.Study.Output_tricps_LH_1.Header.ColumnIDString = "col"
Main.Study.Output_tricps_LH_1.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_LH_1.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LH_1.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LH_1.Fm
  0.000000000000000e+00,  1.324591041780293e+01
  2.020202020202020e-02,  1.316374848562874e+01
  4.040404040404041e-02,  1.311684902095184e+01
  6.060606060606061e-02,  1.308436824112513e+01
  8.080808080808081e-02,  1.305713903483590e+01
  1.010101010101010e-01,  1.303894517299023e+01
  1.212121212121212e-01,  1.306878074360890e+01
  1.414141414141414e-01,  1.315193015996221e+01
  1.616161616161616e-01,  1.324142482046070e+01
  1.818181818181818e-01,  1.333511876184583e+01
  2.020202020202020e-01,  1.343826778510696e+01
  2.222222222222222e-01,  1.355347359085021e+01
  2.424242424242424e-01,  1.367840095474838e+01
  2.626262626262627e-01,  1.386604394615746e+01
  2.828282828282828e-01,  1.405355994421743e+01
  3.030303030303030e-01,  1.423909204237629e+01
  3.232323232323233e-01,  1.442672540158886e+01
  3.434343434343434e-01,  1.459897882432743e+01
  3.636363636363636e-01,  1.479044966032406e+01
  3.838383838383838e-01,  1.497412809137598e+01
  4.040404040404040e-01,  1.519535040257928e+01
  4.242424242424243e-01,  1.549604316964657e+01
  4.444444444444444e-01,  1.580334383974791e+01
  4.646464646464646e-01,  1.611238343075938e+01
  4.848484848484849e-01,  1.642599901436390e+01
  5.050505050505051e-01,  1.671646167523262e+01
  5.252525252525253e-01,  1.702692216417487e+01
  5.454545454545454e-01,  1.733647243840974e+01
  5.656565656565656e-01,  1.763840146448977e+01
  5.858585858585859e-01,  1.795129543255994e+01
  6.060606060606061e-01,  1.826260243456041e+01
  6.262626262626263e-01,  1.855539833771323e+01
  6.464646464646465e-01,  1.884382432409361e+01
  6.666666666666666e-01,  1.916977521093321e+01
  6.868686868686869e-01,  1.950042442784106e+01
  7.070707070707071e-01,  1.983615412468700e+01
  7.272727272727273e-01,  2.017557514804623e+01
  7.474747474747475e-01,  2.051755257017599e+01
  7.676767676767676e-01,  2.085635978190459e+01
  7.878787878787878e-01,  2.119092241328948e+01
  8.080808080808081e-01,  2.146731595888208e+01
