---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_brachialis_2.UpdData = 2
Main.Study.Output_brachialis_2.FileName = "brachialis_2_data.txt"
Main.Study.Output_brachialis_2.NumberFormat.Digits = 15
Main.Study.Output_brachialis_2.NumberFormat.Width = 23
Main.Study.Output_brachialis_2.NumberFormat.Style = ScientificNumber
Main.Study.Output_brachialis_2.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_brachialis_2.Values = 
Main.Study.Output_brachialis_2.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Brachialis_2.Fm"}
Main.Study.Output_brachialis_2.Format = 0
Main.Study.Output_brachialis_2.SepSign = ","
Main.Study.Output_brachialis_2.SepSpaceAutoOnOff = On
Main.Study.Output_brachialis_2.LineSepSign = ""
Main.Study.Output_brachialis_2.Header.TitleSectionOnOff = On
Main.Study.Output_brachialis_2.Header.ConstSectionOnOff = On
Main.Study.Output_brachialis_2.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_brachialis_2.Header.VarSectionOnOff = On
Main.Study.Output_brachialis_2.Header.ColumnNamesOnOff = On
Main.Study.Output_brachialis_2.Header.LinePrefix = ""
Main.Study.Output_brachialis_2.Header.ShortenNamesOnOff = Off
Main.Study.Output_brachialis_2.Header.ColumnIDString = "col"
Main.Study.Output_brachialis_2.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_brachialis_2.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Brachialis_2.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Brachialis_2.Fm
  0.000000000000000e+00,  7.419061209646901e-12
  2.020202020202020e-02,  3.782173327549870e-12
  4.040404040404041e-02,  7.902577312437846e-12
  6.060606060606061e-02,  1.549103002753233e-12
  8.080808080808081e-02,  1.240587348602011e-12
  1.010101010101010e-01,  8.169477852545390e-13
  1.212121212121212e-01,  7.964216225003298e-13
  1.414141414141414e-01,  4.388086051987218e-13
  1.616161616161616e-01,  3.825736557209169e-13
  1.818181818181818e-01,  3.285051310056301e-13
  2.020202020202020e-01,  4.187508409464758e-13
  2.222222222222222e-01,  3.163451206417506e-13
  2.424242424242424e-01,  2.569334654423614e-13
  2.626262626262627e-01,  2.187785752190106e-13
  2.828282828282828e-01,  2.434547758768578e-13
  3.030303030303030e-01,  2.139069390431713e-13
  3.232323232323233e-01,  1.516726797180097e-13
  3.434343434343434e-01,  1.391372237324370e-13
  3.636363636363636e-01,  1.514567499475671e-13
  3.838383838383838e-01,  1.252078757119704e-13
  4.040404040404040e-01,  1.020277556927243e-13
  4.242424242424243e-01,  9.461419348118184e-14
  4.444444444444444e-01,  9.984344509087110e-14
  4.646464646464646e-01,  1.192299301900706e-13
  4.848484848484849e-01,  8.638369290886232e-14
  5.050505050505051e-01,  1.349255571010052e-13
  5.252525252525253e-01,  7.964249605842427e-14
  5.454545454545454e-01,  7.941381148411596e-14
  5.656565656565656e-01,  7.711412359716900e-14
  5.858585858585859e-01,  6.584502214160785e-14
  6.060606060606061e-01,  6.303567579748119e-14
  6.262626262626263e-01,  6.383077552589093e-14
  6.464646464646465e-01,  6.584620693805891e-14
  6.666666666666666e-01,  4.742939356374241e-14
  6.868686868686869e-01,  6.370097344757056e-14
  7.070707070707071e-01,  6.638123521492351e-14
  7.272727272727273e-01,  6.333594369509987e-14
  7.474747474747475e-01,  6.052691881350690e-14
  7.676767676767676e-01,  5.756493705759091e-14
  7.878787878787878e-01,  5.477722559020147e-14
  8.080808080808081e-01,  5.473422951128365e-14
  8.282828282828283e-01,  4.976953351831046e-14
  8.484848484848485e-01,  4.644391581435692e-14
  8.686868686868687e-01,  3.921418015086516e-14
  8.888888888888888e-01,  4.077729991796525e-14
  9.090909090909091e-01,  3.722840532813066e-14
  9.292929292929293e-01,  3.434224331561532e-14
  9.494949494949495e-01,  3.261988366580917e-14
  9.696969696969697e-01,  4.858063874575779e-14
  9.898989898989899e-01,  3.693412949996641e-14
  1.010101010101010e+00,  2.820064058125363e-14
  1.030303030303030e+00,  2.126583360264519e-14
  1.050505050505051e+00,  2.317817907298381e-14
  1.070707070707071e+00,  1.911943800671274e-14
  1.090909090909091e+00,  2.799927523981541e-14
  1.111111111111111e+00,  3.201581300819186e-14
  1.131313131313131e+00,  1.749528617774139e-14
  1.151515151515152e+00,  1.988456632284278e-14
  1.171717171717172e+00,  4.082689071342734e-14
  1.191919191919192e+00,  2.203252456148134e-14
  1.212121212121212e+00,  2.274928833380613e-14
  1.232323232323232e+00,  2.130473753078998e-14
  1.252525252525253e+00,  2.114502631480883e-14
  1.272727272727273e+00,  2.027854373571897e-14
  1.292929292929293e+00,  6.591167699573753e-14
  1.313131313131313e+00,  4.120460726435063e-14
  1.333333333333333e+00,  1.827608908378250e-14
  1.353535353535354e+00,  1.780237250057695e-14
  1.373737373737374e+00,  1.099027029939575e-14
  1.393939393939394e+00,  1.313354639733707e-14
  1.414141414141414e+00,  1.350606742699469e-14
  1.434343434343434e+00,  1.321380545253073e-14
  1.454545454545455e+00,  1.134695011315762e-14
  1.474747474747475e+00,  1.134195432245442e-14
  1.494949494949495e+00,  1.099765837160443e-14
  1.515151515151515e+00,  2.580091653557802e-14
  1.535353535353535e+00,  9.552996259388601e-15
  1.555555555555556e+00,  1.946388152219473e-14
  1.575757575757576e+00,  1.461297493842998e-14
  1.595959595959596e+00,  1.148637247238232e-14
  1.616161616161616e+00,  1.121643530609916e-14
  1.636363636363636e+00,  1.175655859360433e-14
  1.656565656565657e+00,  1.246085069867225e-14
  1.676767676767677e+00,  1.306040130420810e-14
  1.696969696969697e+00,  1.376524866512448e-14
  1.717171717171717e+00,  7.379920858358839e-15
  1.737373737373737e+00,  8.693503567801848e-15
  1.757575757575758e+00,  8.388154593428554e-15
  1.777777777777778e+00,  8.037659719564579e-15
  1.797979797979798e+00,  2.909828254104272e-14
  1.818181818181818e+00,  7.521397812494433e-15
  1.838383838383838e+00,  3.056472078661702e-14
  1.858585858585859e+00,  6.936384731637305e-15
  1.878787878787879e+00,  3.078817730250943e-14
  1.898989898989899e+00,  3.021769688512250e-14
  1.919191919191919e+00,  6.130440806816300e-15
  1.939393939393939e+00,  2.778159669301293e-14
  1.959595959595960e+00,  5.729520364812409e-15
  1.979797979797980e+00,  1.385007672662490e-14
  2.000000000000000e+00,  1.385849446355874e-14
