---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_FE.UpdData = 3
Main.Study.Output_FE.FileName = "FE_data.txt"
Main.Study.Output_FE.NumberFormat.Digits = 15
Main.Study.Output_FE.NumberFormat.Width = 23
Main.Study.Output_FE.NumberFormat.Style = ScientificNumber
Main.Study.Output_FE.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_FE.Values = 
Main.Study.Output_FE.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Jnt.FE.Pos"}
Main.Study.Output_FE.Format = 0
Main.Study.Output_FE.SepSign = ","
Main.Study.Output_FE.SepSpaceAutoOnOff = On
Main.Study.Output_FE.LineSepSign = ""
Main.Study.Output_FE.Header.TitleSectionOnOff = On
Main.Study.Output_FE.Header.ConstSectionOnOff = On
Main.Study.Output_FE.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_FE.Header.VarSectionOnOff = On
Main.Study.Output_FE.Header.ColumnNamesOnOff = On
Main.Study.Output_FE.Header.LinePrefix = ""
Main.Study.Output_FE.Header.ShortenNamesOnOff = Off
Main.Study.Output_FE.Header.ColumnIDString = "col"
Main.Study.Output_FE.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_FE.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Jnt.FE.Pos
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Jnt.FE.Pos
  0.000000000000000e+00,  1.286516055823244e+00
  2.020202020202020e-02,  1.289730870339920e+00
  4.040404040404041e-02,  1.292951779643930e+00
  6.060606060606061e-02,  1.296178798276852e+00
  8.080808080808081e-02,  1.299411941112853e+00
  1.010101010101010e-01,  1.302651223347235e+00
  1.212121212121212e-01,  1.305896660498222e+00
  1.414141414141414e-01,  1.309148268408795e+00
  1.616161616161616e-01,  1.312406063248581e+00
  1.818181818181818e-01,  1.315670061515792e+00
  2.020202020202020e-01,  1.318940280039216e+00
  2.222222222222222e-01,  1.322216735980263e+00
  2.424242424242424e-01,  1.325499446835059e+00
  2.626262626262627e-01,  1.328788430436599e+00
  2.828282828282828e-01,  1.332083704956960e+00
  3.030303030303030e-01,  1.335385288909557e+00
  3.232323232323233e-01,  1.338693201151469e+00
  3.434343434343434e-01,  1.342007460885819e+00
  3.636363636363636e-01,  1.345328087664201e+00
  3.838383838383838e-01,  1.348655101389196e+00
  4.040404040404040e-01,  1.351988522316910e+00
  4.242424242424243e-01,  1.355328371059610e+00
  4.444444444444444e-01,  1.358674668588401e+00
  4.646464646464646e-01,  1.362027436235969e+00
  4.848484848484849e-01,  1.365386695699399e+00
  5.050505050505051e-01,  1.368752469043047e+00
  5.252525252525253e-01,  1.372124778701491e+00
  5.454545454545454e-01,  1.375503647482540e+00
  5.656565656565656e-01,  1.378889098570313e+00
  5.858585858585859e-01,  1.382281155528404e+00
  6.060606060606061e-01,  1.385679842303093e+00
  6.262626262626263e-01,  1.389085183226657e+00
  6.464646464646465e-01,  1.392497203020733e+00
  6.666666666666666e-01,  1.395915926799771e+00
  6.868686868686869e-01,  1.399341380074561e+00
  7.070707070707071e-01,  1.402773588755837e+00
  7.272727272727273e-01,  1.406212579157962e+00
  7.474747474747475e-01,  1.409658378002690e+00
  7.676767676767676e-01,  1.413111012423022e+00
  7.878787878787878e-01,  1.416570509967138e+00
  8.080808080808081e-01,  1.420036898602415e+00
  8.282828282828283e-01,  1.423510206719536e+00
  8.484848484848485e-01,  1.426990463136689e+00
  8.686868686868687e-01,  1.430477697103860e+00
  8.888888888888888e-01,  1.433971938307208e+00
  9.090909090909091e-01,  1.437473216873548e+00
  9.292929292929293e-01,  1.440981563374924e+00
  9.494949494949495e-01,  1.444497008833282e+00
  9.696969696969697e-01,  1.448019584725244e+00
  9.898989898989899e-01,  1.451549322986982e+00
  1.010101010101010e+00,  1.455086256019208e+00
  1.030303030303030e+00,  1.458630416692253e+00
  1.050505050505051e+00,  1.462181838351272e+00
  1.070707070707071e+00,  1.465740554821548e+00
  1.090909090909091e+00,  1.469306600413921e+00
  1.111111111111111e+00,  1.472880009930328e+00
  1.131313131313131e+00,  1.476460818669452e+00
  1.151515151515152e+00,  1.480049062432516e+00
  1.171717171717172e+00,  1.483644777529173e+00
  1.191919191919192e+00,  1.487248000783546e+00
  1.212121212121212e+00,  1.490858769540384e+00
  1.232323232323232e+00,  1.494477121671352e+00
  1.252525252525253e+00,  1.498103095581458e+00
  1.272727272727273e+00,  1.501736730215621e+00
  1.292929292929293e+00,  1.505378065065372e+00
  1.313131313131313e+00,  1.509027140175707e+00
  1.333333333333333e+00,  1.512683996152083e+00
  1.353535353535354e+00,  1.516348674167561e+00
  1.373737373737374e+00,  1.520021215970120e+00
  1.393939393939394e+00,  1.523701663890106e+00
  1.414141414141414e+00,  1.527390060847857e+00
  1.434343434343434e+00,  1.531086450361490e+00
  1.454545454545455e+00,  1.534790876554857e+00
  1.474747474747475e+00,  1.538503384165670e+00
  1.494949494949495e+00,  1.542224018553812e+00
  1.515151515151515e+00,  1.545952825709817e+00
  1.535353535353535e+00,  1.549689852263547e+00
  1.555555555555556e+00,  1.553435145493049e+00
  1.575757575757576e+00,  1.557188753333619e+00
  1.595959595959596e+00,  1.560950724387050e+00
  1.616161616161616e+00,  1.564721107931098e+00
  1.636363636363636e+00,  1.568499953929148e+00
  1.656565656565657e+00,  1.572287313040095e+00
  1.676767676767677e+00,  1.576083236628454e+00
  1.696969696969697e+00,  1.579887776774683e+00
  1.717171717171717e+00,  1.583700986285743e+00
  1.737373737373737e+00,  1.587522918705893e+00
  1.757575757575758e+00,  1.591353628327728e+00
  1.777777777777778e+00,  1.595193170203471e+00
  1.797979797979798e+00,  1.599041600156502e+00
  1.818181818181818e+00,  1.602898974793180e+00
  1.838383838383838e+00,  1.606765351514899e+00
  1.858585858585859e+00,  1.610640788530443e+00
  1.878787878787879e+00,  1.614525344868619e+00
  1.898989898989899e+00,  1.618419080391168e+00
  1.919191919191919e+00,  1.622322055805998e+00
  1.939393939393939e+00,  1.626234332680698e+00
  1.959595959595960e+00,  1.630155973456375e+00
  1.979797979797980e+00,  1.634087041461826e+00
  2.000000000000000e+00,  1.638027600928021e+00
