---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_tricps_LA_2.UpdData = 3
Main.Study.Output_tricps_LA_2.FileName = "triceps_LA_2_data.txt"
Main.Study.Output_tricps_LA_2.NumberFormat.Digits = 15
Main.Study.Output_tricps_LA_2.NumberFormat.Width = 23
Main.Study.Output_tricps_LA_2.NumberFormat.Style = ScientificNumber
Main.Study.Output_tricps_LA_2.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_tricps_LA_2.Values = 
Main.Study.Output_tricps_LA_2.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LA_2.Fm"}
Main.Study.Output_tricps_LA_2.Format = 0
Main.Study.Output_tricps_LA_2.SepSign = ","
Main.Study.Output_tricps_LA_2.SepSpaceAutoOnOff = On
Main.Study.Output_tricps_LA_2.LineSepSign = ""
Main.Study.Output_tricps_LA_2.Header.TitleSectionOnOff = On
Main.Study.Output_tricps_LA_2.Header.ConstSectionOnOff = On
Main.Study.Output_tricps_LA_2.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_LA_2.Header.VarSectionOnOff = On
Main.Study.Output_tricps_LA_2.Header.ColumnNamesOnOff = On
Main.Study.Output_tricps_LA_2.Header.LinePrefix = ""
Main.Study.Output_tricps_LA_2.Header.ShortenNamesOnOff = Off
Main.Study.Output_tricps_LA_2.Header.ColumnIDString = "col"
Main.Study.Output_tricps_LA_2.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_LA_2.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LA_2.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LA_2.Fm
  0.000000000000000e+00,  4.337188258840513e+00
  2.020202020202020e-02,  4.614518509221965e+00
  4.040404040404041e-02,  4.894857494463737e+00
  6.060606060606061e-02,  5.177313644473877e+00
  8.080808080808081e-02,  5.461073103103315e+00
  1.010101010101010e-01,  5.745265735859912e+00
  1.212121212121212e-01,  6.030217358986297e+00
  1.414141414141414e-01,  6.315395602263216e+00
  1.616161616161616e-01,  6.600904222593961e+00
  1.818181818181818e-01,  6.886068116885137e+00
  2.020202020202020e-01,  7.171030496563595e+00
  2.222222222222222e-01,  7.455707681641825e+00
  2.424242424242424e-01,  7.739929173033199e+00
  2.626262626262627e-01,  8.023761724642172e+00
  2.828282828282828e-01,  8.306507577595653e+00
  3.030303030303030e-01,  8.588082142935008e+00
  3.232323232323233e-01,  8.869310159553519e+00
  3.434343434343434e-01,  9.160567968541981e+00
  3.636363636363636e-01,  9.448974113922704e+00
  3.838383838383838e-01,  9.672443544640787e+00
  4.040404040404040e-01,  9.879813955899472e+00
  4.242424242424243e-01,  1.008935351418419e+01
