---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_FE.UpdData = 2
Main.Study.Output_FE.FileName = "FE_data.txt"
Main.Study.Output_FE.NumberFormat.Digits = 15
Main.Study.Output_FE.NumberFormat.Width = 23
Main.Study.Output_FE.NumberFormat.Style = ScientificNumber
Main.Study.Output_FE.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_FE.Values = 
Main.Study.Output_FE.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Jnt.FE.Pos"}
Main.Study.Output_FE.Format = 0
Main.Study.Output_FE.SepSign = ","
Main.Study.Output_FE.SepSpaceAutoOnOff = On
Main.Study.Output_FE.LineSepSign = ""
Main.Study.Output_FE.Header.TitleSectionOnOff = On
Main.Study.Output_FE.Header.ConstSectionOnOff = On
Main.Study.Output_FE.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_FE.Header.VarSectionOnOff = On
Main.Study.Output_FE.Header.ColumnNamesOnOff = On
Main.Study.Output_FE.Header.LinePrefix = ""
Main.Study.Output_FE.Header.ShortenNamesOnOff = Off
Main.Study.Output_FE.Header.ColumnIDString = "col"
Main.Study.Output_FE.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_FE.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Jnt.FE.Pos
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Jnt.FE.Pos
  0.000000000000000e+00,  9.555525410178095e-01
  2.020202020202020e-02,  9.586936014746144e-01
  4.040404040404041e-02,  9.618384780596249e-01
  6.060606060606061e-02,  9.649871748222455e-01
  8.080808080808081e-02,  9.681396962360599e-01
  1.010101010101010e-01,  9.712960470001148e-01
  1.212121212121212e-01,  9.744562320379169e-01
  1.414141414141414e-01,  9.776202564964561e-01
  1.616161616161616e-01,  9.807881257452873e-01
  1.818181818181818e-01,  9.839598453756384e-01
  2.020202020202020e-01,  9.871354211995714e-01
  2.222222222222222e-01,  9.903148592491805e-01
  2.424242424242424e-01,  9.934981657758285e-01
  2.626262626262627e-01,  9.966853472494266e-01
  2.828282828282828e-01,  9.998764103577521e-01
  3.030303030303030e-01,  1.003071362005808e+00
  3.232323232323233e-01,  1.006270209315219e+00
  3.434343434343434e-01,  1.009472959623668e+00
  3.636363636363636e-01,  1.012679620484374e+00
  3.838383838383838e-01,  1.015890199665600e+00
  4.040404040404040e-01,  1.019104705150212e+00
  4.242424242424243e-01,  1.022323145135265e+00
  4.444444444444444e-01,  1.025545528031626e+00
  4.646464646464646e-01,  1.028771862463649e+00
  4.848484848484849e-01,  1.032002157268866e+00
  5.050505050505051e-01,  1.035236421497738e+00
  5.252525252525253e-01,  1.038474664413418e+00
  5.454545454545454e-01,  1.041716895491575e+00
  5.656565656565656e-01,  1.044963124420239e+00
  5.858585858585859e-01,  1.048213361099682e+00
  6.060606060606061e-01,  1.051467615642349e+00
  6.262626262626263e-01,  1.054725898372809e+00
  6.464646464646465e-01,  1.057988219827753e+00
  6.666666666666666e-01,  1.061254590756022e+00
  6.868686868686869e-01,  1.064525022118673e+00
  7.070707070707071e-01,  1.067799525089080e+00
  7.272727272727273e-01,  1.071078111053075e+00
  7.474747474747475e-01,  1.074360791609112e+00
  7.676767676767676e-01,  1.077647578568486e+00
  7.878787878787878e-01,  1.080938483955571e+00
  8.080808080808081e-01,  1.084233520008099e+00
  8.282828282828283e-01,  1.087532699177473e+00
  8.484848484848485e-01,  1.090836034129125e+00
  8.686868686868687e-01,  1.094143537742895e+00
  8.888888888888888e-01,  1.097455223113451e+00
  9.090909090909091e-01,  1.100771103550755e+00
  9.292929292929293e-01,  1.104091192580541e+00
  9.494949494949495e-01,  1.107415503944857e+00
  9.696969696969697e-01,  1.110744051602624e+00
  9.898989898989899e-01,  1.114076849730226e+00
  1.010101010101010e+00,  1.117413912722161e+00
  1.030303030303030e+00,  1.120755255191705e+00
  1.050505050505051e+00,  1.124100891971614e+00
  1.070707070707071e+00,  1.127450838114876e+00
  1.090909090909091e+00,  1.130805108895491e+00
  1.111111111111111e+00,  1.134163719809279e+00
  1.131313131313131e+00,  1.137526686574738e+00
  1.151515151515152e+00,  1.140894025133943e+00
  1.171717171717172e+00,  1.144265751653455e+00
  1.191919191919192e+00,  1.147641882525299e+00
  1.212121212121212e+00,  1.151022434367963e+00
  1.232323232323232e+00,  1.154407424027432e+00
  1.252525252525253e+00,  1.157796868578271e+00
  1.272727272727273e+00,  1.161190785324739e+00
  1.292929292929293e+00,  1.164589191801942e+00
  1.313131313131313e+00,  1.167992105777021e+00
  1.333333333333333e+00,  1.171399545250394e+00
  1.353535353535354e+00,  1.174811528457020e+00
  1.373737373737374e+00,  1.178228073867706e+00
  1.393939393939394e+00,  1.181649200190464e+00
  1.414141414141414e+00,  1.185074926371896e+00
  1.434343434343434e+00,  1.188505271598630e+00
  1.454545454545455e+00,  1.191940255298786e+00
  1.474747474747475e+00,  1.195379897143499e+00
  1.494949494949495e+00,  1.198824217048460e+00
  1.515151515151515e+00,  1.202273235175527e+00
  1.535353535353535e+00,  1.205726971934359e+00
  1.555555555555556e+00,  1.209185447984093e+00
  1.575757575757576e+00,  1.212648684235085e+00
  1.595959595959596e+00,  1.216116701850666e+00
  1.616161616161616e+00,  1.219589522248967e+00
  1.636363636363636e+00,  1.223067167104773e+00
  1.656565656565657e+00,  1.226549658351432e+00
  1.676767676767677e+00,  1.230037018182804e+00
  1.696969696969697e+00,  1.233529269055264e+00
  1.717171717171717e+00,  1.237026433689738e+00
  1.737373737373737e+00,  1.240528535073810e+00
  1.757575757575758e+00,  1.244035596463850e+00
  1.777777777777778e+00,  1.247547641387216e+00
  1.797979797979798e+00,  1.251064693644486e+00
  1.818181818181818e+00,  1.254586777311752e+00
  1.838383838383838e+00,  1.258113916742970e+00
  1.858585858585859e+00,  1.261646136572336e+00
  1.878787878787879e+00,  1.265183461716751e+00
  1.898989898989899e+00,  1.268725917378310e+00
  1.919191919191919e+00,  1.272273529046857e+00
  1.939393939393939e+00,  1.275826322502599e+00
  1.959595959595960e+00,  1.279384323818764e+00
  1.979797979797980e+00,  1.282947559364323e+00
  2.000000000000000e+00,  1.286516055806776e+00
