---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_tricps_LH_2.UpdData = 2
Main.Study.Output_tricps_LH_2.FileName = "triceps_LH_2_data.txt"
Main.Study.Output_tricps_LH_2.NumberFormat.Digits = 15
Main.Study.Output_tricps_LH_2.NumberFormat.Width = 23
Main.Study.Output_tricps_LH_2.NumberFormat.Style = ScientificNumber
Main.Study.Output_tricps_LH_2.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_tricps_LH_2.Values = 
Main.Study.Output_tricps_LH_2.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LH_2.Fm"}
Main.Study.Output_tricps_LH_2.Format = 0
Main.Study.Output_tricps_LH_2.SepSign = ","
Main.Study.Output_tricps_LH_2.SepSpaceAutoOnOff = On
Main.Study.Output_tricps_LH_2.LineSepSign = ""
Main.Study.Output_tricps_LH_2.Header.TitleSectionOnOff = On
Main.Study.Output_tricps_LH_2.Header.ConstSectionOnOff = On
Main.Study.Output_tricps_LH_2.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_LH_2.Header.VarSectionOnOff = On
Main.Study.Output_tricps_LH_2.Header.ColumnNamesOnOff = On
Main.Study.Output_tricps_LH_2.Header.LinePrefix = ""
Main.Study.Output_tricps_LH_2.Header.ShortenNamesOnOff = Off
Main.Study.Output_tricps_LH_2.Header.ColumnIDString = "col"
Main.Study.Output_tricps_LH_2.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_LH_2.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LH_2.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LH_2.Fm
  0.000000000000000e+00,  4.151249369883765e+01
  2.020202020202020e-02,  4.093400307018278e+01
  4.040404040404041e-02,  4.036265391477875e+01
  6.060606060606061e-02,  3.979614702792035e+01
  8.080808080808081e-02,  3.923182281142695e+01
  1.010101010101010e-01,  3.867051860811871e+01
  1.212121212121212e-01,  3.811168819943882e+01
  1.414141414141414e-01,  3.755007980266500e+01
  1.616161616161616e-01,  3.699019197835384e+01
  1.818181818181818e-01,  3.643282933240875e+01
  2.020202020202020e-01,  3.587814457395593e+01
  2.222222222222222e-01,  3.532657736305563e+01
  2.424242424242424e-01,  3.477781838108253e+01
  2.626262626262627e-01,  3.423182396287125e+01
  2.828282828282828e-01,  3.368821983226250e+01
  3.030303030303030e-01,  3.314559189263953e+01
  3.232323232323233e-01,  3.260472059405076e+01
  3.434343434343434e-01,  3.206745112633828e+01
  3.636363636363636e-01,  3.153196543405359e+01
  3.838383838383838e-01,  3.100042320428140e+01
  4.040404040404040e-01,  3.047295361068178e+01
  4.242424242424243e-01,  2.994965787300542e+01
