---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_biceps_brachii_caput_longum.UpdData = 2
Main.Study.Output_biceps_brachii_caput_longum.FileName = "biceps_brachii_caput_longum_data.txt"
Main.Study.Output_biceps_brachii_caput_longum.NumberFormat.Digits = 15
Main.Study.Output_biceps_brachii_caput_longum.NumberFormat.Width = 23
Main.Study.Output_biceps_brachii_caput_longum.NumberFormat.Style = ScientificNumber
Main.Study.Output_biceps_brachii_caput_longum.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_biceps_brachii_caput_longum.Values = 
Main.Study.Output_biceps_brachii_caput_longum.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.biceps_brachii_caput_longum.Fm"}
Main.Study.Output_biceps_brachii_caput_longum.Format = 0
Main.Study.Output_biceps_brachii_caput_longum.SepSign = ","
Main.Study.Output_biceps_brachii_caput_longum.SepSpaceAutoOnOff = On
Main.Study.Output_biceps_brachii_caput_longum.LineSepSign = ""
Main.Study.Output_biceps_brachii_caput_longum.Header.TitleSectionOnOff = On
Main.Study.Output_biceps_brachii_caput_longum.Header.ConstSectionOnOff = On
Main.Study.Output_biceps_brachii_caput_longum.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_biceps_brachii_caput_longum.Header.VarSectionOnOff = On
Main.Study.Output_biceps_brachii_caput_longum.Header.ColumnNamesOnOff = On
Main.Study.Output_biceps_brachii_caput_longum.Header.LinePrefix = ""
Main.Study.Output_biceps_brachii_caput_longum.Header.ShortenNamesOnOff = Off
Main.Study.Output_biceps_brachii_caput_longum.Header.ColumnIDString = "col"
Main.Study.Output_biceps_brachii_caput_longum.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_biceps_brachii_caput_longum.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.biceps_brachii_caput_longum.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.biceps_brachii_caput_longum.Fm
  0.000000000000000e+00,  1.080162284392269e+01
  2.020202020202020e-02,  1.077412720654863e+01
  4.040404040404041e-02,  1.074712496575541e+01
  6.060606060606061e-02,  1.072039968996111e+01
  8.080808080808081e-02,  1.069402706753703e+01
  1.010101010101010e-01,  1.066705393463964e+01
  1.212121212121212e-01,  1.063861408957942e+01
  1.414141414141414e-01,  1.060776399501428e+01
  1.616161616161616e-01,  1.057988492692301e+01
  1.818181818181818e-01,  1.055686371474814e+01
  2.020202020202020e-01,  1.053101061137696e+01
  2.222222222222222e-01,  1.050894977595681e+01
  2.424242424242424e-01,  1.049249997881198e+01
  2.626262626262627e-01,  1.047231098652651e+01
  2.828282828282828e-01,  1.045154614309573e+01
  3.030303030303030e-01,  1.043432961702971e+01
  3.232323232323233e-01,  1.042245801761912e+01
  3.434343434343434e-01,  1.041039847163810e+01
  3.636363636363636e-01,  1.039238392349666e+01
  3.838383838383838e-01,  1.038947990632761e+01
  4.040404040404040e-01,  1.038625445448198e+01
  4.242424242424243e-01,  1.038296251266338e+01
  4.444444444444444e-01,  1.037813578327961e+01
  4.646464646464646e-01,  1.036776149610543e+01
  4.848484848484849e-01,  1.036759966748583e+01
  5.050505050505051e-01,  1.037458618181413e+01
