---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_biceps_brachii_caput_breve.UpdData = 3
Main.Study.Output_biceps_brachii_caput_breve.FileName = "biceps_brachii_caput_breve_data.txt"
Main.Study.Output_biceps_brachii_caput_breve.NumberFormat.Digits = 15
Main.Study.Output_biceps_brachii_caput_breve.NumberFormat.Width = 23
Main.Study.Output_biceps_brachii_caput_breve.NumberFormat.Style = ScientificNumber
Main.Study.Output_biceps_brachii_caput_breve.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_biceps_brachii_caput_breve.Values = 
Main.Study.Output_biceps_brachii_caput_breve.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.biceps_brachii_caput_breve.Fm"}
Main.Study.Output_biceps_brachii_caput_breve.Format = 0
Main.Study.Output_biceps_brachii_caput_breve.SepSign = ","
Main.Study.Output_biceps_brachii_caput_breve.SepSpaceAutoOnOff = On
Main.Study.Output_biceps_brachii_caput_breve.LineSepSign = ""
Main.Study.Output_biceps_brachii_caput_breve.Header.TitleSectionOnOff = On
Main.Study.Output_biceps_brachii_caput_breve.Header.ConstSectionOnOff = On
Main.Study.Output_biceps_brachii_caput_breve.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_biceps_brachii_caput_breve.Header.VarSectionOnOff = On
Main.Study.Output_biceps_brachii_caput_breve.Header.ColumnNamesOnOff = On
Main.Study.Output_biceps_brachii_caput_breve.Header.LinePrefix = ""
Main.Study.Output_biceps_brachii_caput_breve.Header.ShortenNamesOnOff = Off
Main.Study.Output_biceps_brachii_caput_breve.Header.ColumnIDString = "col"
Main.Study.Output_biceps_brachii_caput_breve.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_biceps_brachii_caput_breve.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.biceps_brachii_caput_breve.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.biceps_brachii_caput_breve.Fm
  0.000000000000000e+00,  1.685674366078228e-14
  2.020202020202020e-02,  2.425333486888028e-15
  4.040404040404041e-02,  1.717501286959958e-14
  6.060606060606061e-02,  1.662895737228226e-14
  8.080808080808081e-02,  1.405113779348424e-14
  1.010101010101010e-01,  1.209034881050124e-14
  1.212121212121212e-01,  1.068903102650490e-14
  1.414141414141414e-01,  1.031008798931425e-14
  1.616161616161616e-01,  1.179844678603183e-14
  1.818181818181818e-01,  1.300654664599098e-14
  2.020202020202020e-01,  1.291602109931053e-14
  2.222222222222222e-01,  1.840423617273319e-14
  2.424242424242424e-01,  2.884506873726376e-15
  2.626262626262627e-01,  4.002568856574906e-15
  2.828282828282828e-01,  2.594499461506888e-14
  3.030303030303030e-01,  5.060082286010912e-15
  3.232323232323233e-01,  6.214434099725919e-15
  3.434343434343434e-01,  7.190171721152975e-15
  3.636363636363636e-01,  1.313601021052945e-14
  3.838383838383838e-01,  1.408231633602870e-14
  4.040404040404040e-01,  7.385866465722313e-15
  4.242424242424243e-01,  6.747555253525380e-15
  4.444444444444444e-01,  5.107911519623688e-15
  4.646464646464646e-01,  1.074775620747996e-14
  4.848484848484849e-01,  7.284798194480103e-15
  5.050505050505051e-01,  7.308487359841725e-15
