---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_brachialis_1.UpdData = 2
Main.Study.Output_brachialis_1.FileName = "brachialis_1_data.txt"
Main.Study.Output_brachialis_1.NumberFormat.Digits = 15
Main.Study.Output_brachialis_1.NumberFormat.Width = 23
Main.Study.Output_brachialis_1.NumberFormat.Style = ScientificNumber
Main.Study.Output_brachialis_1.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_brachialis_1.Values = 
Main.Study.Output_brachialis_1.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Brachialis_1.Fm"}
Main.Study.Output_brachialis_1.Format = 0
Main.Study.Output_brachialis_1.SepSign = ","
Main.Study.Output_brachialis_1.SepSpaceAutoOnOff = On
Main.Study.Output_brachialis_1.LineSepSign = ""
Main.Study.Output_brachialis_1.Header.TitleSectionOnOff = On
Main.Study.Output_brachialis_1.Header.ConstSectionOnOff = On
Main.Study.Output_brachialis_1.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_brachialis_1.Header.VarSectionOnOff = On
Main.Study.Output_brachialis_1.Header.ColumnNamesOnOff = On
Main.Study.Output_brachialis_1.Header.LinePrefix = ""
Main.Study.Output_brachialis_1.Header.ShortenNamesOnOff = Off
Main.Study.Output_brachialis_1.Header.ColumnIDString = "col"
Main.Study.Output_brachialis_1.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_brachialis_1.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Brachialis_1.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Brachialis_1.Fm
  0.000000000000000e+00,  7.851273506507497e-15
  2.020202020202020e-02,  8.437203747468271e-15
  4.040404040404041e-02,  9.591074022951663e-15
  6.060606060606061e-02,  1.042775863577543e-14
  8.080808080808081e-02,  1.021046797221870e-14
  1.010101010101010e-01,  3.006577307287821e-14
  1.212121212121212e-01,  1.089317237461259e-14
  1.414141414141414e-01,  1.061784731855493e-14
  1.616161616161616e-01,  9.238366877049043e-15
  1.818181818181818e-01,  8.488325228425866e-15
  2.020202020202020e-01,  7.605706828867945e-15
  2.222222222222222e-01,  7.294846761263204e-15
  2.424242424242424e-01,  6.770658436228606e-15
  2.626262626262627e-01,  6.456394230433484e-15
  2.828282828282828e-01,  2.511060313656726e-14
  3.030303030303030e-01,  2.490641820399497e-14
  3.232323232323233e-01,  2.918145017167908e-14
  3.434343434343434e-01,  5.836841723438239e-15
  3.636363636363636e-01,  5.731710854181226e-15
  3.838383838383838e-01,  5.318837106024518e-15
  4.040404040404040e-01,  5.821267429624851e-15
  4.242424242424243e-01,  8.775474112050192e-15
  4.444444444444444e-01,  1.078586138934852e-14
  4.646464646464646e-01,  2.569902795962077e-14
  4.848484848484849e-01,  1.247321625980098e-14
  5.050505050505051e-01,  1.105195440675547e-14
  5.252525252525253e-01,  6.195330729947986e-15
  5.454545454545454e-01,  4.742227224089061e-14
  5.656565656565656e-01,  5.243055463064750e-15
  5.858585858585859e-01,  7.244665150561654e-15
  6.060606060606061e-01,  9.004891526836015e-15
  6.262626262626263e-01,  1.022500849188721e-14
  6.464646464646465e-01,  1.110890973612913e-14
  6.666666666666666e-01,  1.155286617991137e-14
  6.868686868686869e-01,  1.157986073566587e-14
  7.070707070707071e-01,  9.440921828879324e-15
  7.272727272727273e-01,  4.372230636304695e-15
  7.474747474747475e-01,  2.717355139887498e-15
  7.676767676767676e-01,  4.995954835700509e-15
  7.878787878787878e-01,  5.472983892210224e-15
  8.080808080808081e-01,  8.775179223495512e-15
  8.282828282828283e-01,  1.974013941049150e-14
  8.484848484848485e-01,  1.697310953337415e-14
  8.686868686868687e-01,  1.251731956735654e-14
  8.888888888888888e-01,  1.218023932484992e-14
  9.090909090909091e-01,  1.971164440875103e-14
  9.292929292929293e-01,  2.628557535955870e-14
  9.494949494949495e-01,  4.793087845202671e-15
  9.696969696969697e-01,  6.388420193367459e-15
  9.898989898989899e-01,  3.372025257101300e-14
  1.010101010101010e+00,  7.990457999807660e-15
  1.030303030303030e+00,  3.721379130950614e-14
  1.050505050505051e+00,  4.004702833280822e-14
  1.070707070707071e+00,  2.301992257935618e-14
  1.090909090909091e+00,  3.374478812902117e-14
  1.111111111111111e+00,  4.806482637635864e-14
  1.131313131313131e+00,  3.225344518634044e-14
  1.151515151515152e+00,  3.148455940137822e-14
  1.171717171717172e+00,  3.402045987131286e-14
  1.191919191919192e+00,  4.160202396154474e-14
  1.212121212121212e+00,  1.264931356524780e-14
  1.232323232323232e+00,  1.779401236091666e-13
  1.252525252525253e+00,  2.699754168559812e-14
  1.272727272727273e+00,  4.390144158471684e-14
  1.292929292929293e+00,  4.920430140724248e-14
  1.313131313131313e+00,  6.040888012038316e-14
  1.333333333333333e+00,  8.836370469114490e-14
  1.353535353535354e+00,  2.197077920482127e-14
  1.373737373737374e+00,  6.805865836485647e-14
  1.393939393939394e+00,  3.111666813853006e-14
  1.414141414141414e+00,  3.385759352133275e-14
  1.434343434343434e+00,  1.113585461776679e-13
  1.454545454545455e+00,  4.087751310472783e-14
  1.474747474747475e+00,  4.438287326058983e-14
  1.494949494949495e+00,  4.472518381454523e-14
  1.515151515151515e+00,  3.439536914269141e-14
  1.535353535353535e+00,  4.751373392665676e-14
  1.555555555555556e+00,  4.278239022717324e-14
  1.575757575757576e+00,  4.881087391885209e-14
  1.595959595959596e+00,  5.459600317582722e-14
  1.616161616161616e+00,  5.835609024511371e-14
  1.636363636363636e+00,  5.911516985328854e-14
  1.656565656565657e+00,  6.092064945048328e-14
  1.676767676767677e+00,  6.271157015413400e-14
  1.696969696969697e+00,  5.608411075222946e-14
  1.717171717171717e+00,  6.284863862161587e-14
  1.737373737373737e+00,  6.624756923990821e-14
  1.757575757575758e+00,  7.222881466725878e-14
  1.777777777777778e+00,  8.558363112223195e-14
  1.797979797979798e+00,  1.128718908951178e-13
  1.818181818181818e+00,  1.256188805027010e-13
  1.838383838383838e+00,  9.800863497079801e-14
  1.858585858585859e+00,  1.140749620573149e-13
  1.878787878787879e+00,  1.323852275584337e-13
  1.898989898989899e+00,  1.395970546928424e-13
  1.919191919191919e+00,  1.535864789736346e-13
  1.939393939393939e+00,  1.773986636059447e-13
  1.959595959595960e+00,  1.984201872390986e-13
  1.979797979797980e+00,  2.086985404384949e-13
  2.000000000000000e+00,  2.147537515498459e-13
