---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_tricps_LA_2.UpdData = 2
Main.Study.Output_tricps_LA_2.FileName = "triceps_LA_2_data.txt"
Main.Study.Output_tricps_LA_2.NumberFormat.Digits = 15
Main.Study.Output_tricps_LA_2.NumberFormat.Width = 23
Main.Study.Output_tricps_LA_2.NumberFormat.Style = ScientificNumber
Main.Study.Output_tricps_LA_2.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_tricps_LA_2.Values = 
Main.Study.Output_tricps_LA_2.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LA_2.Fm"}
Main.Study.Output_tricps_LA_2.Format = 0
Main.Study.Output_tricps_LA_2.SepSign = ","
Main.Study.Output_tricps_LA_2.SepSpaceAutoOnOff = On
Main.Study.Output_tricps_LA_2.LineSepSign = ""
Main.Study.Output_tricps_LA_2.Header.TitleSectionOnOff = On
Main.Study.Output_tricps_LA_2.Header.ConstSectionOnOff = On
Main.Study.Output_tricps_LA_2.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_LA_2.Header.VarSectionOnOff = On
Main.Study.Output_tricps_LA_2.Header.ColumnNamesOnOff = On
Main.Study.Output_tricps_LA_2.Header.LinePrefix = ""
Main.Study.Output_tricps_LA_2.Header.ShortenNamesOnOff = Off
Main.Study.Output_tricps_LA_2.Header.ColumnIDString = "col"
Main.Study.Output_tricps_LA_2.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_LA_2.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LA_2.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LA_2.Fm
  0.000000000000000e+00,  2.674832625197222e+01
  2.020202020202020e-02,  2.657030325852807e+01
  4.040404040404041e-02,  2.639633522593397e+01
  6.060606060606061e-02,  2.621959185415596e+01
  8.080808080808081e-02,  2.604570657057985e+01
  1.010101010101010e-01,  2.586813226628755e+01
  1.212121212121212e-01,  2.568966952912128e+01
  1.414141414141414e-01,  2.551138173951270e+01
  1.616161616161616e-01,  2.533583901839515e+01
  1.818181818181818e-01,  2.515774125626965e+01
  2.020202020202020e-01,  2.497945976892790e+01
  2.222222222222222e-01,  2.480314769126946e+01
  2.424242424242424e-01,  2.462577973869131e+01
  2.626262626262627e-01,  2.444974396390746e+01
  2.828282828282828e-01,  2.427419232077231e+01
  3.030303030303030e-01,  2.409517051317805e+01
  3.232323232323233e-01,  2.391766194070388e+01
  3.434343434343434e-01,  2.373855135102049e+01
  3.636363636363636e-01,  2.355902414197242e+01
  3.838383838383838e-01,  2.337960411631921e+01
  4.040404040404040e-01,  2.319552441296401e+01
  4.242424242424243e-01,  2.300060011561127e+01
