---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_tricps_ME_2.UpdData = 2
Main.Study.Output_tricps_ME_2.FileName = "triceps_ME_2_data.txt"
Main.Study.Output_tricps_ME_2.NumberFormat.Digits = 15
Main.Study.Output_tricps_ME_2.NumberFormat.Width = 23
Main.Study.Output_tricps_ME_2.NumberFormat.Style = ScientificNumber
Main.Study.Output_tricps_ME_2.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_tricps_ME_2.Values = 
Main.Study.Output_tricps_ME_2.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_ME_2.Fm"}
Main.Study.Output_tricps_ME_2.Format = 0
Main.Study.Output_tricps_ME_2.SepSign = ","
Main.Study.Output_tricps_ME_2.SepSpaceAutoOnOff = On
Main.Study.Output_tricps_ME_2.LineSepSign = ""
Main.Study.Output_tricps_ME_2.Header.TitleSectionOnOff = On
Main.Study.Output_tricps_ME_2.Header.ConstSectionOnOff = On
Main.Study.Output_tricps_ME_2.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_ME_2.Header.VarSectionOnOff = On
Main.Study.Output_tricps_ME_2.Header.ColumnNamesOnOff = On
Main.Study.Output_tricps_ME_2.Header.LinePrefix = ""
Main.Study.Output_tricps_ME_2.Header.ShortenNamesOnOff = Off
Main.Study.Output_tricps_ME_2.Header.ColumnIDString = "col"
Main.Study.Output_tricps_ME_2.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_ME_2.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_ME_2.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_ME_2.Fm
  0.000000000000000e+00,  1.122021618907142e-14
  2.020202020202020e-02,  1.146427286569502e-14
  4.040404040404041e-02,  1.185675145819499e-14
  6.060606060606061e-02,  1.188034906433865e-14
  8.080808080808081e-02,  1.219445778130861e-14
  1.010101010101010e-01,  1.927400759674357e-14
  1.212121212121212e-01,  2.974345209215742e-14
  1.414141414141414e-01,  1.519434322720991e-14
  1.616161616161616e-01,  1.041168466741741e-14
  1.818181818181818e-01,  9.374376359831827e-15
  2.020202020202020e-01,  1.352420095655358e-14
  2.222222222222222e-01,  7.863156033548046e-15
  2.424242424242424e-01,  1.043460212864340e-14
  2.626262626262627e-01,  6.042449724826599e-14
  2.828282828282828e-01,  9.755158211599513e-15
  3.030303030303030e-01,  2.795292010086500e-14
  3.232323232323233e-01,  1.969303195114187e-14
  3.434343434343434e-01,  1.170227082707293e-14
  3.636363636363636e-01,  1.171218018655843e-14
  3.838383838383838e-01,  1.348111368016655e-14
  4.040404040404040e-01,  1.395057475445235e-14
  4.242424242424243e-01,  2.392504288106941e-14
  4.444444444444444e-01,  2.457622665602523e-14
  4.646464646464646e-01,  1.288093262314303e-14
  4.848484848484849e-01,  1.591376309276314e-14
  5.050505050505051e-01,  1.126859407684932e-14
  5.252525252525253e-01,  1.300921343707392e-14
  5.454545454545454e-01,  1.119322180439951e-14
  5.656565656565656e-01,  6.778193565287846e-14
  5.858585858585859e-01,  1.822851557479307e-14
  6.060606060606061e-01,  1.779051365319811e-14
  6.262626262626263e-01,  6.802471294762813e-14
  6.464646464646465e-01,  1.851980449404830e-14
  6.666666666666666e-01,  1.933788862952777e-14
  6.868686868686869e-01,  1.994251765396695e-14
  7.070707070707071e-01,  2.052172445000527e-14
  7.272727272727273e-01,  6.500699505077986e-14
  7.474747474747475e-01,  2.147916007491631e-14
  7.676767676767676e-01,  2.194554654251998e-14
  7.878787878787878e-01,  2.185525126490434e-14
  8.080808080808081e-01,  2.316326520468473e-14
  8.282828282828283e-01,  2.388048993745909e-14
  8.484848484848485e-01,  2.442496874734953e-14
  8.686868686868687e-01,  2.437919049520897e-14
  8.888888888888888e-01,  2.555443435118624e-14
  9.090909090909091e-01,  2.623923040502508e-14
  9.292929292929293e-01,  2.694833704435498e-14
  9.494949494949495e-01,  2.771150135307306e-14
  9.696969696969697e-01,  2.840205999653705e-14
  9.898989898989899e-01,  2.865755040806211e-14
  1.010101010101010e+00,  6.347749313560928e-14
  1.030303030303030e+00,  6.134652350230334e-14
  1.050505050505051e+00,  5.108134859221134e-14
  1.070707070707071e+00,  2.804729287206737e-14
  1.090909090909091e+00,  3.331862901498083e-14
  1.111111111111111e+00,  3.403369919968726e-14
  1.131313131313131e+00,  3.527551892180587e-14
  1.151515151515152e+00,  3.434063053319113e-14
